query_dish_id,query_dish_name,query_category,query_ingredients,candidate_dish_id,candidate_dish_name,candidate_category,candidate_ingredients,score_qwen2_5_7b,score_llama3_1_8b,score_gemma2_9b,score_mistral_7b,score_mean,n_models
dish4218,Cà tím nhồi thịt nướng sốt thái,mon nuong,"Cà tím, Thịt băm, Giò sống, Dầu hào, Bột chiên giòn",dish3926,Gà nướng tiêu nguyên con,mon nuong,"Gà làm sẵn, Dầu ô liu, Hành băm, Tỏi băm, Nước tương",0,1,1,1,0.75,4
dish4218,Cà tím nhồi thịt nướng sốt thái,mon nuong,"Cà tím, Thịt băm, Giò sống, Dầu hào, Bột chiên giòn",dish4235,Đùi gà tây nướng mật ong,mon nuong,"Đùi gà tây, Hành tím, Tỏi, Mè rang, Ngũ vị hương",0,1,1,1,0.75,4
dish4218,Cà tím nhồi thịt nướng sốt thái,mon nuong,"Cà tím, Thịt băm, Giò sống, Dầu hào, Bột chiên giòn",dish4100,Gà nướng ống tre,mon nuong,"Gà, Sả, Tỏi băm, Hành băm, Nước mắm",0,1,1,1,0.75,4
dish4218,Cà tím nhồi thịt nướng sốt thái,mon nuong,"Cà tím, Thịt băm, Giò sống, Dầu hào, Bột chiên giòn",dish3996,Thịt ngan nướng riềng mẻ,mon nuong,"Ngan, Sả, Riềng, Mẻ, Gừng",0,1,1,1,0.75,4
dish4218,Cà tím nhồi thịt nướng sốt thái,mon nuong,"Cà tím, Thịt băm, Giò sống, Dầu hào, Bột chiên giòn",dish3790,Sườn cốt lết nướng bằng lò nướng,mon nuong,"Sườn cốt lết, Sả, Cam, Hành tím, Tỏi",0,1,1,0,0.5,4
dish3803,Gà nướng muối sả,mon nuong,"Gà, Tỏi băm, Sả băm, Ớt băm, Lá giang",dish3924,Mề gà nướng muối ớt,mon nuong,"Mề gà, Gừng, Hành tím băm, Tỏi băm, Ớt băm",1,1,2,1,1.25,4
dish3803,Gà nướng muối sả,mon nuong,"Gà, Tỏi băm, Sả băm, Ớt băm, Lá giang",dish4185,Mực trứng nướng muối ớt,mon nuong,"Mực trứng, Hành tím băm, Tỏi băm, Ớt băm, Ớt sa tế",1,1,1,1,1.0,4
dish3803,Gà nướng muối sả,mon nuong,"Gà, Tỏi băm, Sả băm, Ớt băm, Lá giang",dish4027,Cá lóc nướng muối tuyết,mon nuong,"Cá lóc, Trứng, Hành lá, Gừng, Hạt mắc khén",0,1,1,1,0.75,4
dish3803,Gà nướng muối sả,mon nuong,"Gà, Tỏi băm, Sả băm, Ớt băm, Lá giang",dish4116,Vịt quay bằng nồi chiên không dầu,mon nuong,"Thịt vịt, Hạt ngò, Đình hương, Tiểu hồi, Hành tím",0,1,1,0,0.5,4
dish3803,Gà nướng muối sả,mon nuong,"Gà, Tỏi băm, Sả băm, Ớt băm, Lá giang",dish3805,Chả cua đồng,mon nuong,"Chả cua đồng, Tôm khô, Bột gạo, Trứng vịt, Lá đầu hành lá",0,1,1,0,0.5,4
dish3803,Gà nướng muối sả,mon nuong,"Gà, Tỏi băm, Sả băm, Ớt băm, Lá giang",dish4100,Gà nướng ống tre,mon nuong,"Gà, Sả, Tỏi băm, Hành băm, Nước mắm",1,1,2,1,1.25,4
dish3803,Gà nướng muối sả,mon nuong,"Gà, Tỏi băm, Sả băm, Ớt băm, Lá giang",dish4042,Thịt heo rừng nướng sa tế,mon nuong,"Thịt heo rừng, Cà tím, Đậu bắp, Sả băm, Hành tím băm",1,1,1,1,1.0,4
dish3803,Gà nướng muối sả,mon nuong,"Gà, Tỏi băm, Sả băm, Ớt băm, Lá giang",dish4235,Đùi gà tây nướng mật ong,mon nuong,"Đùi gà tây, Hành tím, Tỏi, Mè rang, Ngũ vị hương",0,1,1,1,0.75,4
dish2133,Bánh yến mạch energy bar,mon banh,"Yến mạch, Quả chà là, Socola chips, Bơ đậu phộng, Dừa nạo khô",dish1162,Bánh quy mochi socola chip,mon banh,"Bột mì đa dụng, Bột nếp, Bột bắp, Bột cacao, Dầu dừa",1,1,1,1,1.0,4
dish2133,Bánh yến mạch energy bar,mon banh,"Yến mạch, Quả chà là, Socola chips, Bơ đậu phộng, Dừa nạo khô",dish1498,Cheesecake thạch dưa hấu,mon banh,"Dưa hấu, Gelatin, Cream cheese, Whipping cream, Đường",0,1,1,0,0.5,4
dish2133,Bánh yến mạch energy bar,mon banh,"Yến mạch, Quả chà là, Socola chips, Bơ đậu phộng, Dừa nạo khô",dish1548,Cheesecake dưa hấu,mon banh,"Dưa hấu, Bánh quy, Cream cheese, Whipping cream, Sữa chua",0,1,1,0,0.5,4
dish2133,Bánh yến mạch energy bar,mon banh,"Yến mạch, Quả chà là, Socola chips, Bơ đậu phộng, Dừa nạo khô",dish2926,Bánh chuối nướng không trứng,mon banh,"Chuối tươi, Bột mì nguyên cám, Sữa hạnh nhân, Dầu dừa, Siro đường",0,1,1,1,0.75,4
dish2133,Bánh yến mạch energy bar,mon banh,"Yến mạch, Quả chà là, Socola chips, Bơ đậu phộng, Dừa nạo khô",dish0902,Bánh quai vạc Phan Thiết,mon banh,"Bột năng, Tôm tươi, Dầu điều, Tỏi băm, Hành lá",0,0,0,0,0.0,4
dish2133,Bánh yến mạch energy bar,mon banh,"Yến mạch, Quả chà là, Socola chips, Bơ đậu phộng, Dừa nạo khô",dish2809,Bánh pancake bí đỏ yến mạch,mon banh,"Yến mạch, Sữa tươi không đường, Bí đỏ, Bột quế, Bột nở",1,1,1,1,1.0,4
dish2133,Bánh yến mạch energy bar,mon banh,"Yến mạch, Quả chà là, Socola chips, Bơ đậu phộng, Dừa nạo khô",dish0882,Bánh mì xúc xích chà bông,mon banh,"Bột làm bánh mì, Đường, Trứng gà, Men nở khô instant, Muối",0,1,0,0,0.25,4
dish2133,Bánh yến mạch energy bar,mon banh,"Yến mạch, Quả chà là, Socola chips, Bơ đậu phộng, Dừa nạo khô",dish0856,Bánh mì xá xíu,mon banh,"Thịt nạc vai heo, Sốt ướp đồ nướng, Hành tím băm nhỏ, Tỏi băm nhỏ, Màu gạch tôm",0,1,0,0,0.25,4
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish1149,Bánh quy yến mạch,mon banh,"Khoai lang vàng, Bột yến mạch, Bơ lạt, Mật ong, Lòng đỏ trứng gà",0,0,1,0,0.25,4
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish0957,Bánh trung thu lava nhân trứng chảy,mon banh,"Bột cake flour, Bột sữa, Bột bắp, Lòng đỏ trứng muối, Trứng gà",0,1,1,1,0.75,4
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish1269,Bánh khọt,mon banh,"Tôm, Thịt nạc băm, Mực, Bột gạo, Cơm",1,1,1,1,1.0,4
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish1372,Bánh gạo giòn tan,mon banh,"Cơm trắng, Trứng gà, Bột nghệ, Bột gà, Mè đen",0,1,1,0,0.5,4
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish1779,Bánh nậm không cần lá chuối,mon banh,"Tôm, Thịt heo, Bột gạo, Bột năng, Chanh",0,1,1,1,0.75,4
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish0918,Bánh tráng dừa,mon banh,"Bột gạo, Bột năng, Dừa vụn sấy khô, Mè, Nước cốt dừa",0,1,1,1,0.75,4
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish1185,Bánh ép khô Huế thịt tôm bằng khuôn,mon banh,"Bột năng, Thịt xay, Tôm, Hành tây cắt hạt lựu, Hạt nêm",1,1,1,1,1.0,4
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish0885,Bánh gật gù,mon banh,"Bột gạo tẻ, Cơm trắng, Dầu ăn, Mỡ gà, Hành khô",1,1,1,1,1.0,4
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish1654,Bánh mì cadé bằng trứng vịt,mon banh,"Bột mì số 13, Sữa tươi không đường, Bơ lạt, Men ngọt, Trứng gà",1,1,1,1,1.0,4
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish1002,Bánh mì cuộn xúc xích,mon banh,"Bột mì, Đường trắng, Muối, Men nở, Sữa tươi không đường",1,1,2,1,1.25,4
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish2787,Vỏ bánh mì hamburger từ trái bơ,mon banh,"Bơ, Bột mì số 13, Trứng gà, Sữa tươi không đường, Men nở",1,2,2,1,1.5,4
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish1214,Bánh mì nướng bằng chảo,mon banh,"Bột mì số 13, Men nở, Nước ấm, Trứng gà, Muối",1,1,2,1,1.25,4
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish1236,Bánh bông lan sữa chua,mon banh,"Bột mì, Bột bắp, Trứng gà to, Sữa chua không đường, Đường ăn kiêng",0,1,1,1,0.75,4
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish0944,Bánh bò bông,mon banh,"Bột gạo tẻ, Bột nếp, Sữa tươi không đường, Đường thốt nốt, Men khô",0,1,1,1,0.75,4
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish1270,Bánh bao nhân thịt trứng,mon banh,"Bột bánh bao pha sẵn, Thịt heo xay, Trứng cút, Ngò rí, Hành tím băm",0,1,1,1,0.75,4
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish1941,Bánh quy tôm khô,mon banh,"Bột mì số 13, Bột phô mai, Bơ lạt, Ruốc khô, Tôm khô",0,1,1,1,0.75,4
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7830,Lẩu cá trắm chua cay,mon lau,"Cá trắm, Cà chua, Nghệ, Hành lá, Rau thì là",0,1,1,1,0.75,4
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7822,Lẩu chân giò heo,mon lau,"Giò heo, Măng tươi, Rau móp chua, Sả, Tỏi",0,1,1,1,0.75,4
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7899,Mực nhúng giấm,mon lau,"Mực ống, Nước dừa, Giấm, Rượu trắng, Hành tím",1,1,1,1,1.0,4
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7832,Lẩu cù lao miền Tây,mon lau,"Lưỡi heo, Lòng non, Cật heo, Gan heo, Lá lách",0,1,0,1,0.5,4
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7774,Lẩu ếch chuối đậu,mon lau,"Thịt ếch, Chuối xanh lớn, Đậu hũ trắng, Mắm tôm, Cơm mẻ",0,1,0,1,0.5,4
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7812,Lẩu gà thuốc bắc,mon lau,"Gà, Nguyên liệu thuốc bắc, Cà rốt, Nấm kim châm, Nấm hương khô",0,1,1,1,0.75,4
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7902,Lẩu kim chi bạch tuộc Hàn Quốc,mon lau,"Bạch tuộc, Kim chi, Nước dùng gà, Tỏi băm, Ớt bột",1,1,1,1,1.0,4
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7922,Lẩu bò nấm,mon lau,"Thịt bò, Nấm hương, Nấm kim châm, Nấm đùi gà, Rau cải cúc",0,1,1,1,0.75,4
dish0650,Canh khoai tây cà rốt thịt băm,mon canh,"Thịt heo băm, Khoai tây, Cà rốt, Hành lá, Hành tím",dish0193,Canh cải thảo thịt bằm,mon canh,"Cải thảo, Thịt heo, Nấm mèo, Hành tím, Hành lá",1,1,1,1,1.0,4
dish0650,Canh khoai tây cà rốt thịt băm,mon canh,"Thịt heo băm, Khoai tây, Cà rốt, Hành lá, Hành tím",dish0305,Canh cà rốt thịt băm,mon canh,"Cà rốt, Thịt heo băm, Hành tím, Hành lá, Dầu ăn",1,2,2,1,1.5,4
dish0650,Canh khoai tây cà rốt thịt băm,mon canh,"Thịt heo băm, Khoai tây, Cà rốt, Hành lá, Hành tím",dish0609,Canh bí đỏ nấu sườn heo,mon canh,"Sườn heo, Bí đỏ, Hành lá, Hành tím, Dầu ăn",1,1,1,1,1.0,4
dish0650,Canh khoai tây cà rốt thịt băm,mon canh,"Thịt heo băm, Khoai tây, Cà rốt, Hành lá, Hành tím",dish0536,Sườn dê hầm thuốc bắc ngải cứu,mon canh,"Sườn dê, Thuốc bắc, Táo đỏ, Long nhãn, Thục địa",0,1,1,0,0.5,4
dish0650,Canh khoai tây cà rốt thịt băm,mon canh,"Thịt heo băm, Khoai tây, Cà rốt, Hành lá, Hành tím",dish0076,Canh rau củ hầm xương,mon canh,"Xương heo, Khoai tây, Cà rốt, Su su, Hành tím",1,1,2,1,1.25,4
dish0650,Canh khoai tây cà rốt thịt băm,mon canh,"Thịt heo băm, Khoai tây, Cà rốt, Hành lá, Hành tím",dish0624,Súp kem ức gà luộc,mon canh,"Ức gà, Rau củ hỗn hợp, Cần tây, Sữa tươi không đường, Bột mì",0,1,1,0,0.5,4
dish0650,Canh khoai tây cà rốt thịt băm,mon canh,"Thịt heo băm, Khoai tây, Cà rốt, Hành lá, Hành tím",dish0504,Canh đuôi bò Hàn Quốc,mon canh,"Đuôi bò, Củ cải, Bột ớt Hàn Quốc, Hành boa rô, Tỏi",0,1,1,0,0.5,4
dish0650,Canh khoai tây cà rốt thịt băm,mon canh,"Thịt heo băm, Khoai tây, Cà rốt, Hành lá, Hành tím",dish0234,Canh súp,mon canh,"Sườn heo, Củ dền, Cà rốt, Khoai tây, Củ cải trắng",1,2,2,1,1.5,4
dish0622,Canh cá bạc má dưa chua và cà chua,mon canh,"Cá bạc má, Cà chua, Dưa chua, Nước dưa chua, Hành tím",dish0517,Canh sườn củ sen,mon canh,"Sườn heo, Củ sen, Hành lá, Hành tím, Nước mắm",0,1,1,0,0.5,4
dish0622,Canh cá bạc má dưa chua và cà chua,mon canh,"Cá bạc má, Cà chua, Dưa chua, Nước dưa chua, Hành tím",dish0419,Canh măng chua cá nục,mon canh,"Cá nục, Măng chua, Cà chua, Rau quế, Hành lá",1,1,1,1,1.0,4
dish0622,Canh cá bạc má dưa chua và cà chua,mon canh,"Cá bạc má, Cà chua, Dưa chua, Nước dưa chua, Hành tím",dish0576,Canh cua nấu mướp,mon canh,"Cua đồng, Mướp, Mồng tơi, Rau đay, Bông thiên lý",0,1,1,0,0.5,4
dish0622,Canh cá bạc má dưa chua và cà chua,mon canh,"Cá bạc má, Cà chua, Dưa chua, Nước dưa chua, Hành tím",dish0336,Súp khoai tây viên nhân thịt,mon canh,"Thịt heo xay, Xương heo, Khoai tây, Hành tím băm, Rau mùi",0,1,1,0,0.5,4
dish0622,Canh cá bạc má dưa chua và cà chua,mon canh,"Cá bạc má, Cà chua, Dưa chua, Nước dưa chua, Hành tím",dish0064,Cá chép nấu măng chua,mon canh,"Đầu cá chép, Măng chua, Cà chua, Hành tím, Hành lá",1,1,1,1,1.0,4
dish0622,Canh cá bạc má dưa chua và cà chua,mon canh,"Cá bạc má, Cà chua, Dưa chua, Nước dưa chua, Hành tím",dish0767,Canh cà tím bung đậu thịt,mon canh,"Cà tím, Cà chua, Thịt ba chỉ, Đậu hũ, Hành tím",1,1,1,1,1.0,4
dish0622,Canh cá bạc má dưa chua và cà chua,mon canh,"Cá bạc má, Cà chua, Dưa chua, Nước dưa chua, Hành tím",dish0792,Thịt trâu nấu lá giang,mon canh,"Thịt trâu tươi, Lá giang, Tỏi, Gừng tươi, Ớt tươi",0,1,1,0,0.5,4
dish0622,Canh cá bạc má dưa chua và cà chua,mon canh,"Cá bạc má, Cà chua, Dưa chua, Nước dưa chua, Hành tím",dish0383,Canh nghêu nấu ngót,mon canh,"Nghêu, Cà chua, Thơm, Rau cần tây, Hành tím",1,1,1,1,1.0,4
dish1175,Bánh khoai mì chuối nướng,mon banh,"Chuối xiêm, Khoai mì, Bột năng, Nước cốt dừa, Tinh chất vani",dish1926,Bánh bò nướng nhân dừa bằng chảo,mon banh,"Bột gạo, Bột năng, Bột nở, Men nở, Dừa sợi",0,1,1,1,0.75,4
dish1175,Bánh khoai mì chuối nướng,mon banh,"Chuối xiêm, Khoai mì, Bột năng, Nước cốt dừa, Tinh chất vani",dish1169,Bánh chuối nướng bằng chảo chống dính,mon banh,"Chuối, Bánh mì, Bơ lạt, Nước cốt dừa, Sữa tươi",1,1,1,1,1.0,4
dish1175,Bánh khoai mì chuối nướng,mon banh,"Chuối xiêm, Khoai mì, Bột năng, Nước cốt dừa, Tinh chất vani",dish2243,Bánh chuối chiên khoai mì,mon banh,"Khoai mì bào, Đường, Chuối xiêm, Bột năng, Bột gạo",1,2,2,1,1.5,4
dish1175,Bánh khoai mì chuối nướng,mon banh,"Chuối xiêm, Khoai mì, Bột năng, Nước cốt dừa, Tinh chất vani",dish1366,Bánh pizza bằng khoai tây,mon banh,"Trứng gà, Khoai tây, Thịt nguội, Sốt cà chua, Bột Parsley",0,1,1,0,0.5,4
dish1175,Bánh khoai mì chuối nướng,mon banh,"Chuối xiêm, Khoai mì, Bột năng, Nước cốt dừa, Tinh chất vani",dish2900,Bánh men,mon banh,"Bột năng, Bột gạo, Lá dứa, Đường bột, Nước cốt dừa",1,1,1,1,1.0,4
dish1175,Bánh khoai mì chuối nướng,mon banh,"Chuối xiêm, Khoai mì, Bột năng, Nước cốt dừa, Tinh chất vani",dish1264,Panna cotta chanh dây (chanh leo),mon banh,"Sữa tươi không đường, Mật ong, Chanh dây, Gelatin",0,1,1,0,0.5,4
dish1175,Bánh khoai mì chuối nướng,mon banh,"Chuối xiêm, Khoai mì, Bột năng, Nước cốt dừa, Tinh chất vani",dish1400,Bánh Yokan đậu đỏ truyền thống,mon banh,"Bột rau câu Agar, Hạt đậu đỏ, Đường trắng, Nước lọc, Gừng",0,1,1,1,0.75,4
