dish_id,dish_name,category,core_ingredients,candidate_id,candidate_name,score_qwen2_5_7b,score_llama3_1_8b,score_gemma2_9b,score_mistral_7b,score_mean,n_models
dish6538,Cá thu áp chảo,mon chien,"Cá thu, Hành tím",ingre07063,tỏi,2,2,1,2,1.75,4
dish6538,Cá thu áp chảo,mon chien,"Cá thu, Hành tím",ingre05900,sả,1,1,1,1,1.0,4
dish6538,Cá thu áp chảo,mon chien,"Cá thu, Hành tím",ingre03746,muối,1,2,2,2,1.75,4
dish6538,Cá thu áp chảo,mon chien,"Cá thu, Hành tím",ingre00819,bột ngọt,1,1,1,0,0.75,4
dish6538,Cá thu áp chảo,mon chien,"Cá thu, Hành tím",ingre02995,hạt nêm,2,1,2,1,1.5,4
dish6538,Cá thu áp chảo,mon chien,"Cá thu, Hành tím",ingre07583,đường,1,1,1,1,1.0,4
dish6538,Cá thu áp chảo,mon chien,"Cá thu, Hành tím",ingre02124,dầu ăn,1,2,2,2,1.75,4
dish6538,Cá thu áp chảo,mon chien,"Cá thu, Hành tím",ingre02020,dưa leo,0,1,1,1,0.75,4
dish1002,Bánh mì cuộn xúc xích,mon banh,"Bơ lạt, Xúc xích",ingre07652,đường trắng,1,1,0,1,0.75,4
dish1002,Bánh mì cuộn xúc xích,mon banh,"Bơ lạt, Xúc xích",ingre03686,men nở,0,1,0,2,0.75,4
dish1002,Bánh mì cuộn xúc xích,mon banh,"Bơ lạt, Xúc xích",ingre06823,trứng gà,1,1,1,2,1.25,4
dish1002,Bánh mì cuộn xúc xích,mon banh,"Bơ lạt, Xúc xích",ingre06147,sữa tươi không đường,1,1,0,1,0.75,4
dish1002,Bánh mì cuộn xúc xích,mon banh,"Bơ lạt, Xúc xích",ingre00759,bột mì,0,1,2,2,1.25,4
dish1002,Bánh mì cuộn xúc xích,mon banh,"Bơ lạt, Xúc xích",ingre03746,muối,1,1,1,2,1.25,4
dish7062,Ức gà chiên ngũ vị hương,mon chien,Ức gà,ingre07063,tỏi,2,2,2,2,2.0,4
dish7062,Ức gà chiên ngũ vị hương,mon chien,Ức gà,ingre07583,đường,1,2,2,1,1.5,4
dish7062,Ức gà chiên ngũ vị hương,mon chien,Ức gà,ingre04381,ngũ vị hương,2,2,2,2,2.0,4
dish7062,Ức gà chiên ngũ vị hương,mon chien,Ức gà,ingre06612,tiêu,2,2,2,2,2.0,4
dish7062,Ức gà chiên ngũ vị hương,mon chien,Ức gà,ingre02768,hành tím,2,2,2,2,2.0,4
dish7062,Ức gà chiên ngũ vị hương,mon chien,Ức gà,ingre02124,dầu ăn,1,2,2,2,1.75,4
dish7062,Ức gà chiên ngũ vị hương,mon chien,Ức gà,ingre03746,muối,1,2,2,2,1.75,4
dish7062,Ức gà chiên ngũ vị hương,mon chien,Ức gà,ingre02094,dầu mè,1,2,2,2,1.75,4
dish5062,Dồi trường xào cay,mon xao,"Dồi trường, Sả",ingre02485,gừng,1,1,2,2,1.5,4
dish5062,Dồi trường xào cay,mon xao,"Dồi trường, Sả",ingre08017,ớt chỉ thiên,2,2,2,2,2.0,4
dish5062,Dồi trường xào cay,mon xao,"Dồi trường, Sả",ingre02093,dầu màu điều,1,1,0,2,1.0,4
dish5062,Dồi trường xào cay,mon xao,"Dồi trường, Sả",ingre07037,tương ớt hột,2,2,2,2,2.0,4
dish5062,Dồi trường xào cay,mon xao,"Dồi trường, Sả",ingre02080,dầu hào,2,2,1,2,1.75,4
dish5062,Dồi trường xào cay,mon xao,"Dồi trường, Sả",ingre03084,hắc xì dầu,1,2,1,1,1.25,4
dish5062,Dồi trường xào cay,mon xao,"Dồi trường, Sả",ingre07063,tỏi,2,1,2,2,1.75,4
dish5062,Dồi trường xào cay,mon xao,"Dồi trường, Sả",ingre08055,ớt sừng,2,2,2,2,2.0,4
dish5062,Dồi trường xào cay,mon xao,"Dồi trường, Sả",ingre04790,nước tương,1,1,2,2,1.5,4
dish5062,Dồi trường xào cay,mon xao,"Dồi trường, Sả",ingre02741,hành tây,1,1,1,1,1.0,4
dish0369,Canh khoai mỡ thịt bằm,mon canh,"Thịt heo bằm, Khoai mỡ",ingre02995,hạt nêm,2,1,2,1,1.5,4
dish0369,Canh khoai mỡ thịt bằm,mon canh,"Thịt heo bằm, Khoai mỡ",ingre00819,bột ngọt,1,1,1,0,0.75,4
dish0369,Canh khoai mỡ thịt bằm,mon canh,"Thịt heo bằm, Khoai mỡ",ingre06644,tiêu xay,2,2,1,1,1.5,4
dish0369,Canh khoai mỡ thịt bằm,mon canh,"Thịt heo bằm, Khoai mỡ",ingre02673,hành lá,2,1,2,2,1.75,4
dish0369,Canh khoai mỡ thịt bằm,mon canh,"Thịt heo bằm, Khoai mỡ",ingre04356,ngò ôm,1,2,1,1,1.25,4
dish0352,Canh chua bắp cải xanh,mon canh,"Bắp cải xanh, Đậu hũ non, Nấm kim châm, Nấm bào ngư, Cà chua",ingre00819,bột ngọt,1,1,0,1,0.75,4
dish0352,Canh chua bắp cải xanh,mon canh,"Bắp cải xanh, Đậu hũ non, Nấm kim châm, Nấm bào ngư, Cà chua",ingre04356,ngò ôm,1,2,1,1,1.25,4
dish0352,Canh chua bắp cải xanh,mon canh,"Bắp cải xanh, Đậu hũ non, Nấm kim châm, Nấm bào ngư, Cà chua",ingre02995,hạt nêm,1,1,1,1,1.0,4
dish0352,Canh chua bắp cải xanh,mon canh,"Bắp cải xanh, Đậu hũ non, Nấm kim châm, Nấm bào ngư, Cà chua",ingre08026,ớt hiểm,2,2,1,2,1.75,4
dish0352,Canh chua bắp cải xanh,mon canh,"Bắp cải xanh, Đậu hũ non, Nấm kim châm, Nấm bào ngư, Cà chua",ingre03644,me chua,2,2,2,2,2.0,4
dish0352,Canh chua bắp cải xanh,mon canh,"Bắp cải xanh, Đậu hũ non, Nấm kim châm, Nấm bào ngư, Cà chua",ingre03746,muối,1,2,2,2,1.75,4
dish0352,Canh chua bắp cải xanh,mon canh,"Bắp cải xanh, Đậu hũ non, Nấm kim châm, Nấm bào ngư, Cà chua",ingre01260,chả chay,1,1,0,2,1.0,4
dish0352,Canh chua bắp cải xanh,mon canh,"Bắp cải xanh, Đậu hũ non, Nấm kim châm, Nấm bào ngư, Cà chua",ingre07583,đường,1,1,1,1,1.0,4
dish0352,Canh chua bắp cải xanh,mon canh,"Bắp cải xanh, Đậu hũ non, Nấm kim châm, Nấm bào ngư, Cà chua",ingre04821,nước vo gạo,1,1,1,2,1.25,4
dish0352,Canh chua bắp cải xanh,mon canh,"Bắp cải xanh, Đậu hũ non, Nấm kim châm, Nấm bào ngư, Cà chua",ingre02645,hành boa rô,1,2,1,2,1.5,4
dish1023,Bánh bộc lọc chay nhân nấm,mon banh,"Đậu hũ ky, Nấm tuyết, Chả sữa cắt hạt lựu, Đậu hũ cắt hạt lựu",ingre01079,chanh,1,1,0,1,0.75,4
dish1023,Bánh bộc lọc chay nhân nấm,mon banh,"Đậu hũ ky, Nấm tuyết, Chả sữa cắt hạt lựu, Đậu hũ cắt hạt lựu",ingre02683,hành lá cắt nhỏ,2,1,1,2,1.5,4
dish1023,Bánh bộc lọc chay nhân nấm,mon banh,"Đậu hũ ky, Nấm tuyết, Chả sữa cắt hạt lựu, Đậu hũ cắt hạt lựu",ingre07971,ớt băm,1,1,1,2,1.25,4
dish1023,Bánh bộc lọc chay nhân nấm,mon banh,"Đậu hũ ky, Nấm tuyết, Chả sữa cắt hạt lựu, Đậu hũ cắt hạt lựu",ingre07675,đường/ bột ngọt,1,1,1,1,1.0,4
dish1023,Bánh bộc lọc chay nhân nấm,mon banh,"Đậu hũ ky, Nấm tuyết, Chả sữa cắt hạt lựu, Đậu hũ cắt hạt lựu",ingre01426,cà rốt cắt hạt lựu nhỏ,1,1,1,1,1.0,4
dish1023,Bánh bộc lọc chay nhân nấm,mon banh,"Đậu hũ ky, Nấm tuyết, Chả sữa cắt hạt lựu, Đậu hũ cắt hạt lựu",ingre02997,hạt nêm chay,1,1,1,1,1.0,4
dish1023,Bánh bộc lọc chay nhân nấm,mon banh,"Đậu hũ ky, Nấm tuyết, Chả sữa cắt hạt lựu, Đậu hũ cắt hạt lựu",ingre07071,tỏi băm,1,1,1,2,1.25,4
dish1023,Bánh bộc lọc chay nhân nấm,mon banh,"Đậu hũ ky, Nấm tuyết, Chả sữa cắt hạt lựu, Đậu hũ cắt hạt lựu",ingre01423,cà rốt băm,1,1,1,2,1.25,4
dish1023,Bánh bộc lọc chay nhân nấm,mon banh,"Đậu hũ ky, Nấm tuyết, Chả sữa cắt hạt lựu, Đậu hũ cắt hạt lựu",ingre03417,lá dứa,1,2,1,1,1.25,4
dish1023,Bánh bộc lọc chay nhân nấm,mon banh,"Đậu hũ ky, Nấm tuyết, Chả sữa cắt hạt lựu, Đậu hũ cắt hạt lựu",ingre04968,nấm đông cô cắt hạt lựu nhỏ,2,2,1,1,1.5,4
dish2434,Brownie cookie socola,mon banh,"Socola đen, Bơ lạt",ingre00791,bột mì đa dụng,2,1,2,1,1.5,4
dish2434,Brownie cookie socola,mon banh,"Socola đen, Bơ lạt",ingre06801,trứng,2,1,2,1,1.5,4
dish2434,Brownie cookie socola,mon banh,"Socola đen, Bơ lạt",ingre07628,đường nâu,2,1,2,1,1.5,4
dish2434,Brownie cookie socola,mon banh,"Socola đen, Bơ lạt",ingre00576,bột cacao,2,2,2,2,2.0,4
dish2434,Brownie cookie socola,mon banh,"Socola đen, Bơ lạt",ingre00867,bột nở,2,1,2,1,1.5,4
dish2649,Bánh puff pastry pie nhân socola,mon banh,Nước lạnh,ingre00392,bơ lạt để lạnh,2,2,2,1,1.75,4
dish2649,Bánh puff pastry pie nhân socola,mon banh,Nước lạnh,ingre00716,bột làm bánh,0,2,2,2,1.5,4
dish2649,Bánh puff pastry pie nhân socola,mon banh,Nước lạnh,ingre00691,bột hạnh nhân,1,1,2,2,1.5,4
dish2649,Bánh puff pastry pie nhân socola,mon banh,Nước lạnh,ingre07583,đường,1,2,2,1,1.5,4
dish2649,Bánh puff pastry pie nhân socola,mon banh,Nước lạnh,ingre06592,tinh chất vani,1,1,1,1,1.0,4
dish2649,Bánh puff pastry pie nhân socola,mon banh,Nước lạnh,ingre07589,đường bột,1,2,2,1,1.5,4
dish2649,Bánh puff pastry pie nhân socola,mon banh,Nước lạnh,ingre06801,trứng,1,1,1,1,1.0,4
dish2649,Bánh puff pastry pie nhân socola,mon banh,Nước lạnh,ingre05735,socola  (bạn có thể sử dụng tùy thích loại socola mình thích),2,2,2,1,1.75,4
dish2649,Bánh puff pastry pie nhân socola,mon banh,Nước lạnh,ingre00719,bột làm bánh  (bột mì số 8),0,2,2,1,1.25,4
dish2649,Bánh puff pastry pie nhân socola,mon banh,Nước lạnh,ingre03746,muối,1,1,0,1,0.75,4
dish6076,Đầu cá hồi kho tiêu,mon kho,Đầu cá hồi,ingre02020,dưa leo,0,1,0,1,0.5,4
dish6076,Đầu cá hồi kho tiêu,mon kho,Đầu cá hồi,ingre03746,muối,1,1,2,2,1.5,4
dish6076,Đầu cá hồi kho tiêu,mon kho,Đầu cá hồi,ingre06619,tiêu hạt,2,2,2,2,2.0,4
dish6076,Đầu cá hồi kho tiêu,mon kho,Đầu cá hồi,ingre00819,bột ngọt,1,1,0,1,0.75,4
dish6076,Đầu cá hồi kho tiêu,mon kho,Đầu cá hồi,ingre07583,đường,1,1,1,1,1.0,4
dish6076,Đầu cá hồi kho tiêu,mon kho,Đầu cá hồi,ingre07966,ớt,1,1,1,2,1.25,4
dish6076,Đầu cá hồi kho tiêu,mon kho,Đầu cá hồi,ingre06644,tiêu xay,2,2,2,2,2.0,4
dish6076,Đầu cá hồi kho tiêu,mon kho,Đầu cá hồi,ingre02768,hành tím,2,2,2,2,2.0,4
dish6076,Đầu cá hồi kho tiêu,mon kho,Đầu cá hồi,ingre02995,hạt nêm,1,1,1,2,1.25,4
dish6076,Đầu cá hồi kho tiêu,mon kho,Đầu cá hồi,ingre04694,nước mắm,2,2,2,2,2.0,4
dish7205,Cá bã trầu chiên chấm mắm me,mon chien,"Cá bã trầu, Me chín",ingre03746,muối,1,1,1,2,1.25,4
dish7205,Cá bã trầu chiên chấm mắm me,mon chien,"Cá bã trầu, Me chín",ingre07063,tỏi,1,2,2,2,1.75,4
dish7205,Cá bã trầu chiên chấm mắm me,mon chien,"Cá bã trầu, Me chín",ingre04694,nước mắm,2,2,2,2,2.0,4
dish7205,Cá bã trầu chiên chấm mắm me,mon chien,"Cá bã trầu, Me chín",ingre07966,ớt,1,1,2,2,1.5,4
dish7205,Cá bã trầu chiên chấm mắm me,mon chien,"Cá bã trầu, Me chín",ingre00819,bột ngọt,1,1,0,0,0.5,4
dish7205,Cá bã trầu chiên chấm mắm me,mon chien,"Cá bã trầu, Me chín",ingre07583,đường,1,1,1,1,1.0,4
dish7205,Cá bã trầu chiên chấm mắm me,mon chien,"Cá bã trầu, Me chín",ingre02124,dầu ăn,1,1,2,2,1.5,4
dish0305,Canh cà rốt thịt băm,mon canh,Thịt heo băm,ingre01419,cà rốt,2,2,2,2,2.0,4
dish0305,Canh cà rốt thịt băm,mon canh,Thịt heo băm,ingre02768,hành tím,2,2,2,1,1.75,4
dish0305,Canh cà rốt thịt băm,mon canh,Thịt heo băm,ingre00587,bột canh,2,2,1,2,1.75,4
dish0305,Canh cà rốt thịt băm,mon canh,Thịt heo băm,ingre02124,dầu ăn,1,1,2,2,1.5,4
dish0305,Canh cà rốt thịt băm,mon canh,Thịt heo băm,ingre02673,hành lá,2,2,2,2,2.0,4
dish0305,Canh cà rốt thịt băm,mon canh,Thịt heo băm,ingre07583,đường,1,1,1,1,1.0,4
dish0305,Canh cà rốt thịt băm,mon canh,Thịt heo băm,ingre06644,tiêu xay,2,2,1,1,1.5,4
dish0305,Canh cà rốt thịt băm,mon canh,Thịt heo băm,ingre02995,hạt nêm,2,1,2,1,1.5,4
dish6721,Cơm rang bằng nồi chiên không dầu,mon chien,Cơm nguội,ingre02124,dầu ăn,2,2,2,0,1.5,4
dish6721,Cơm rang bằng nồi chiên không dầu,mon chien,Cơm nguội,ingre06801,trứng,2,2,2,2,2.0,4
dish6721,Cơm rang bằng nồi chiên không dầu,mon chien,Cơm nguội,ingre01419,cà rốt,1,1,1,2,1.25,4
dish6721,Cơm rang bằng nồi chiên không dầu,mon chien,Cơm nguội,ingre07396,xúc xích,2,1,1,2,1.5,4
dish6721,Cơm rang bằng nồi chiên không dầu,mon chien,Cơm nguội,ingre07818,đậu que,1,1,1,1,1.0,4
dish2185,Bánh lá liễu - hồng đào,mon banh,"Gạo nếp, Tôm khô, Thịt ba chỉ",ingre07583,đường,1,1,2,1,1.25,4
dish2185,Bánh lá liễu - hồng đào,mon banh,"Gạo nếp, Tôm khô, Thịt ba chỉ",ingre07791,đậu phộng rang,1,1,1,1,1.0,4
