anchor_dish_id,anchor_dish_name,anchor_category,anchor_ingredients_preview,candidate_dish_id,candidate_dish_name,candidate_category,candidate_ingredients_preview,llm_mean_score,annotator_1,annotator_2,notes
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish1357,Bánh mì bơ tỏi,mon banh,"Bánh mì baguette, Bơ lạt, Tỏi xay, Lá oregano khô",1,0,1,Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Nhóm ontology liên quan (sibling): pate gan (gia vị mặn/umami) ↔ bơ lạt (gia vị mặn/umami); Cùng phương pháp chế biến: Bake
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish2743,Bánh quy trang trí đường,mon banh,"Bơ lạt, Bột mì đa dụng, Bột nở, Kem tươi, Trứng",0.333333333,0,0,Gần như không liên quan: tín hiệu ontology rất yếu. | Cùng nhóm ontology 'bột': bột bánh rán; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ trứng (thịt chế biến); Cùng phương pháp chế biến: Bake
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish1144,Bánh Dorayaki (bánh rán Doremon),mon banh,"Bột mì đa dụng, Bột nở, Đậu đỏ, Trứng gà, Mật ong",1,2,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: dầu ăn; Cùng nhóm ontology 'gia vị mặn/umami': pate gan, dầu ăn; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ trứng gà (thịt chế biến); Cùng phương pháp chế biến: Bake"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish2740,Mì cọng chiên,mon banh,"Bột mì đa dụng, Khoai tây, Hành lá, Đường, Hạt nêm",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Cùng nhóm ontology 'gia vị mặn/umami': pate gan, xà lách roman; Nhóm ontology liên quan (sibling): húng lủi (rau thơm) ↔ khoai tây (rau thơm); Cùng phương pháp chế biến: Bake; Bổ trợ hương vị (NPMI=0.32): dầu ăn ↔ hạt nêm"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish1479,Cách làm bánh hotdog hình thú,mon banh,"Trứng gà, Sữa tươi không đường, Dầu ăn, Đường cát, Bột mì số 8",1,1,1,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: dầu ăn (Jaccard=0.06); Cùng nhóm ontology 'gia vị mặn/umami': pate gan, bột bánh rán; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ trứng gà (thịt chế biến); Cùng phương pháp chế biến: Bake"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish5179,Hủ tiếu xào chay,mon xao,"Hủ tiếu khô, Đậu hũ trắng, Nấm đùi gà, Cải thìa, Hành tím",0.666666667,0,0,"Liên quan thấp: chỉ có tín hiệu ontology yếu hoặc gián tiếp. | Chia sẻ nguyên liệu chung: dầu ăn, sốt mayonnaise (Jaccard=0.06); Cùng nhóm ontology 'gia vị mặn/umami': pate gan; Nhóm ontology liên quan (sibling): xà lách roman (rau củ) ↔ nấm đùi gà (rau củ); Phương pháp khác nhau: Bake vs StirFry; Bổ trợ hương vị (NPMI=0.40): pate gan ↔ sốt mayonnaise"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish6055,Gà giả cầy,mon kho,"Gà, Sả, Nghệ, Gừng, Riềng",1,0,0,Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Cùng nhóm ontology 'trái cây': tắc; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ gà (thịt chế biến); Phương pháp khác nhau: Bake vs Stew
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish1750,Bánh mì lá dứa,mon banh,"Bread flour, Men nở instant, Nước cốt dừa, Trứng, Bơ lạt",1,0,0,Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ trứng (thịt chế biến); Cùng phương pháp chế biến: Bake
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish0174,Canh hàu nấu măng chua,mon canh,"Ruột hàu, Măng củ chua, Cà chua, Ớt, Hành khô",0.333333333,0,0,"Gần như không liên quan: tín hiệu ontology rất yếu. | Chia sẻ nguyên liệu chung: dầu ăn; Cùng nhóm ontology 'gia vị mặn/umami': pate gan, bột bánh rán; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ thì là (thịt chế biến); Phương pháp khác nhau: Bake vs Boil"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish9567,Tôm khô củ kiệu,ngay le tet,"Tôm khô, Củ kiệu, Trứng bắc thảo",1,0,0,Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Cùng nhóm ontology 'rau củ': xà lách roman; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ tôm khô (thịt chế biến); Phương pháp khác nhau: Bake vs Festive
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish5361,"Nấm rơm xào dứa (thơm, khóm)",mon xao,"Nấm rơm, Dứa, Tỏi, Hành tím, Hành lá",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: tiêu, hạt nêm, dầu ăn, nước tương (Jaccard=0.27); Cùng nhóm ontology 'gia vị mặn/umami': muối, tỏi băm; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ dầu ăn (gia vị thơm); Phương pháp khác nhau: Grill vs StirFry; Bổ trợ hương vị (NPMI=0.44): hạt nêm ↔ bột ngọt"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish5709,Sườn kho gừng,mon kho,"Sườn heo, Tỏi băm, Gừng, Hành tím, Dầu ăn",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: hạt nêm, dầu ăn, nước tương, gừng (Jaccard=0.31); Cùng nhóm ontology 'gia vị mặn/umami': muối, vịt; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ dầu ăn (gia vị thơm); Phương pháp khác nhau: Grill vs Stew; Bổ trợ hương vị (NPMI=0.44): bột ngọt ↔ hạt nêm"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish5700,Bao tử cá khìa nước dừa,mon kho,"Bao tử cá basa, Dừa tươi, Tỏi, Ớt, Gừng",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: tiêu, giấm, hạt nêm, dầu ăn (Jaccard=0.25); Cùng nhóm ontology 'gia vị mặn/umami': muối, hạt nêm; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ tương ớt (gia vị thơm); Phương pháp khác nhau: Grill vs Stew; Bổ trợ hương vị (NPMI=0.44): hạt nêm ↔ bột ngọt"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish5836,Gà kho rau răm,mon kho,"Đùi gà, Rau răm, Hành tím, Tỏi, Ớt",1,0,1,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: tiêu, hạt nêm, dầu ăn, tỏi (Jaccard=0.26); Cùng nhóm ontology 'gia vị mặn/umami': muối, dầu ăn; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ dầu ăn (gia vị thơm); Phương pháp khác nhau: Grill vs Stew; Bổ trợ hương vị (NPMI=0.44): bột ngọt ↔ hạt nêm"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish5276,Bắp cải xào cà rốt,mon xao,"Bắp cải, Cà rốt, Nấm rơm, Tỏi, Dầu ăn",0.666666667,0,0,"Liên quan thấp: chỉ có tín hiệu ontology yếu hoặc gián tiếp. | Chia sẻ nguyên liệu chung: tiêu, hạt nêm, dầu ăn, tỏi (Jaccard=0.22); Cùng nhóm ontology 'gia vị mặn/umami': muối, tỏi băm; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ dầu ăn (gia vị thơm); Phương pháp khác nhau: Grill vs StirFry; Bổ trợ hương vị (NPMI=0.44): hạt nêm ↔ bột ngọt"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish4049,Tai heo nướng sa tế,mon nuong,"Lỗ tai heo, Sa tế, Nước tương, Ngũ vị hương, Hành tím băm",2,2,1,"Rất liên quan: tín hiệu ontology toàn diện và nhất quán. | Chia sẻ nguyên liệu chung: tiêu, hạt nêm, sa tế, dầu ăn (Jaccard=0.23); Cùng nhóm ontology 'gia vị mặn/umami': muối, gừng; Nhóm ontology liên quan (sibling): vịt (thịt đỏ) ↔ lỗ tai heo (thịt đỏ); Cùng phương pháp chế biến: Grill; Bổ trợ hương vị (NPMI=0.56): tỏi băm ↔ hành tím băm"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish3191,Bún chả cá thác lác,mon nuoc,"Cá thác lác, Bún tươi, Dứa, Hành lá, Cà chua",0.666666667,0,0,"Liên quan thấp: chỉ có tín hiệu ontology yếu hoặc gián tiếp. | Chia sẻ nguyên liệu chung: tiêu, hạt nêm, dầu ăn, tỏi (Jaccard=0.20); Cùng nhóm ontology 'gia vị mặn/umami': muối, hành tím; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ dầu ăn (gia vị thơm); Phương pháp khác nhau: Grill vs NoodleSoup; Bổ trợ hương vị (NPMI=0.44): hạt nêm ↔ bột ngọt"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish4655,Thịt bò xào cà rốt,mon xao,"Thịt bò, Cà rốt, Hành tây, Tỏi, Gừng",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: hạt nêm, dầu ăn, gừng, tỏi (Jaccard=0.23); Cùng nhóm ontology 'gia vị mặn/umami': muối, vịt; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ dầu ăn (gia vị thơm); Phương pháp khác nhau: Grill vs StirFry; Bổ trợ hương vị (NPMI=0.44): hạt nêm ↔ bột ngọt"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish3478,Bánh canh vịt,mon nuoc,"Thịt vịt, Bánh canh bột gạo, Hành tím băm nhỏ, Gừng, Nấm rơm búp",1.333333333,1,1,"Khá liên quan: nhiều tín hiệu ontology trùng khớp. | Chia sẻ nguyên liệu chung: tiêu, hạt nêm, dầu ăn, gừng (Jaccard=0.19); Cùng nhóm ontology 'gia vị mặn/umami': muối, sa tế; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ dầu ăn (gia vị thơm); Phương pháp khác nhau: Grill vs Boil; Bổ trợ hương vị (NPMI=0.44): hạt nêm ↔ bột ngọt"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish6934,Gân bò cháy tỏi,mon chien,"Gân bò, Tỏi, Gừng, Giấm, Đường",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: giấm, dầu ăn, gừng, tỏi (Jaccard=0.28); Cùng nhóm ontology 'gia vị mặn/umami': muối; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ giấm (gia vị thơm); Phương pháp khác nhau: Grill vs Fry; Bổ trợ hương vị (NPMI=0.44): hạt nêm ↔ bột ngọt"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish3964,Gà nướng lá mắc mật bằng lò nướng,mon nuong,"Gà, Lá mắc mật, Cà rốt, Dưa leo, Rau thơm ăn kèm",1.333333333,1,1,"Khá liên quan: nhiều tín hiệu ontology trùng khớp. | Chia sẻ nguyên liệu chung: tỏi, dầu hào, hành tím, giấm (Jaccard=0.17); Cùng nhóm ontology 'gia vị thơm': gừng; Nhóm ontology liên quan (sibling): muối (gia vị mặn/umami) ↔ giấm (gia vị mặn/umami); Cùng phương pháp chế biến: Grill; Bổ trợ hương vị (NPMI=0.41): nước tương ↔ dầu mè"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish4127,Sườn nướng BBQ,mon nuong,"Sườn heo, Bột xá xíu, Bột tỏi, Sốt BBQ, Tương ớt",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: tiêu, nước tương, bột ngọt, dầu hào (Jaccard=0.08); Cùng nhóm ontology 'thịt đỏ': vịt, sa tế; Nhóm ontology liên quan (sibling): muối (gia vị mặn/umami) ↔ bột xá xíu (gia vị mặn/umami); Cùng phương pháp chế biến: Grill; Bổ trợ hương vị (NPMI=0.51): mạch nha ↔ bột xá xíu"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish4057,Vọp nướng mỡ hành,mon nuong,"Vọp, Đậu phộng rang, Hành lá, Dầu ăn",1,1,1,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: dầu ăn; Cùng nhóm ontology 'gia vị mặn/umami': muối, hành tím; Cùng phương pháp chế biến: Grill; Bổ trợ hương vị (NPMI=0.32): hạt nêm ↔ dầu ăn"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish3863,Cầu gai (nhum biển) nướng mỡ hành,mon nuong,"Nhum biển, Mỡ lợn, Trứng gà, Sữa tươi không đường, Phô mai sợi",1.333333333,0,0,"Khá liên quan: nhiều tín hiệu ontology trùng khớp. | Chia sẻ nguyên liệu chung: tỏi, muối (Jaccard=0.08); Cùng nhóm ontology 'gia vị mặn/umami': muối, gừng; Nhóm ontology liên quan (sibling): vịt (thịt đỏ) ↔ nhum biển (thịt đỏ); Cùng phương pháp chế biến: Grill"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish3985,Gà đút lò sốt bơ,mon nuong,"Đùi gà góc tư, Khoai tây, Bơ lạt, Tỏi, Dầu olive",1,0,1,Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: tỏi (Jaccard=0.06); Cùng nhóm ontology 'gia vị thơm': tỏi băm; Nhóm ontology liên quan (sibling): muối (gia vị mặn/umami) ↔ lá thyme (gia vị mặn/umami); Cùng phương pháp chế biến: Grill
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish3066,Bánh cupcake bơ đậu phộng,mon banh,"Bơ mềm, Đường, Trứng, Chiết xuất vani, Bột mì đa dụng",0,0,0,"Không liên quan: thiếu tất cả tín hiệu ontology. | Chia sẻ nguyên liệu chung: đường, muối (Jaccard=0.07); Cùng nhóm ontology 'gia vị mặn/umami': muối, bột ngũ vị hương; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ đường (gia vị thơm); Phương pháp khác nhau: Grill vs Bake"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish1580,Bánh chưng nếp cẩm nhân thịt heo,mon banh,"Gạo nếp cẩm, Gạo nếp trắng, Thịt heo, Đậu xanh cà vỏ, Hành tím",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: tiêu, bột ngọt, đường, hành tím (Jaccard=0.11); Cùng nhóm ontology 'gia vị mặn/umami': muối, vịt; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ nước mắm (gia vị thơm); Phương pháp khác nhau: Grill vs Bake; Bổ trợ hương vị (NPMI=0.44): hạt nêm ↔ bột ngọt"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish0657,Canh khổ qua (mướp đắng) thịt bằm,mon canh,"Khổ qua, Thịt bằm, Hành lá, Muối, Bột ngọt",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: muối, hạt nêm, bột ngọt (Jaccard=0.06); Cùng nhóm ontology 'gia vị mặn/umami': muối, vịt; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ hạt nêm (gia vị thơm); Phương pháp khác nhau: Grill vs Boil; Bổ trợ hương vị (NPMI=0.44): hạt nêm ↔ bột ngọt"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish7941,Lẩu cá lăng măng chua,mon lau,"Cá lăng, Măng chua, Rau nhúng lẩu, Sả, Cà chua",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: dầu ăn, sa tế (Jaccard=0.07); Cùng nhóm ontology 'gia vị mặn/umami': muối, tỏi băm; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ nước mắm (gia vị thơm); Phương pháp khác nhau: Grill vs Hotpot; Bổ trợ hương vị (NPMI=0.34): gừng ↔ sả"
dish3827,Vịt nướng sa tế,mon nuong,"Vịt, Sa tế, Dầu màu điều, Mạch nha, Giấm",dish0336,Súp khoai tây viên nhân thịt,mon canh,"Thịt heo xay, Xương heo, Khoai tây, Hành tím băm, Rau mùi",0.333333333,0,0,"Gần như không liên quan: tín hiệu ontology rất yếu. | Chia sẻ nguyên liệu chung: dầu hào, nước tương, tiêu (Jaccard=0.07); Cùng nhóm ontology 'gia vị mặn/umami': muối, vịt; Nhóm ontology liên quan (sibling): gừng (gia vị thơm) ↔ tiêu (gia vị thơm); Phương pháp khác nhau: Grill vs Boil; Bổ trợ hương vị (NPMI=0.56): tỏi băm ↔ hành tím băm"
dish7014,Cơm Tonkatsu,mon chien,"Thịt đùi heo, Trứng gà, Bắp cải trắng, Bột chiên xù, Bột mì",dish7278,Sò điệp chiên xù,mon chien,"Sò điệp, Trứng gà, Bột chiên giòn, Bột chiên xù, Dầu ăn",1,1,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: tiêu, bột chiên xù, hạt nêm, dầu ăn (Jaccard=0.29); Cùng nhóm ontology 'Snack': bột chiên xù, dầu ăn; Nhóm ontology liên quan (sibling): đường (gia vị ngọt) ↔ giấm (gia vị ngọt); Cùng phương pháp chế biến: Fry; Bổ trợ hương vị (NPMI=0.50): bột chiên xù ↔ bột chiên giòn"
