query_id,query,query_type,classes_positive,classes_negative,cooking_method,candidate_dish_id,candidate_dish_name,candidate_category,candidate_ingredients_preview,rule_label,annotator_1,annotator_2,notes
q152,gạo lẩu,cooking_method,Grain,,Hotpot,dish9316,Bánh phồng cá thác lác,an vat,"Cá thác lác, Bột năng, Lòng trắng trứng, Hành lá, Bột tỏi",0,0,0,
q168,món làm bánh chay,cooking_method,PlantProtein,,Bake,dish8485,Gà sốt cay Worcestershire,mon tu ga,"Cánh gà, Sốt Worcestershire, Tương ớt, Giấm, Nước dùng gà",0,0,0,
q168,món làm bánh chay,cooking_method,PlantProtein,,Bake,dish2501,Bánh in nhân đậu xanh sầu riêng,mon banh,"Đậu xanh, Bột nếp chín, Sầu riêng, Đường, Đường xay",1,1,1,
q168,món làm bánh chay,cooking_method,PlantProtein,,Bake,dish0772,Canh câu kỷ tử,mon canh,"Thịt thăn heo, Quả câu kỷ tử khô, Lá câu kỷ tử, Trứng gà, Nước tương",0,0,0,
q168,món làm bánh chay,cooking_method,PlantProtein,,Bake,dish1531,Bánh mì trà xanh,mon banh,"Bột mì số 13, Bột trà xanh, Men nở, Dầu dừa, Nước cốt chanh",0,1,1,
q168,món làm bánh chay,cooking_method,PlantProtein,,Bake,dish1601,Bánh tét gấc,mon banh,"Thịt ba rọi, Nếp Thái, Đậu trắng, Đậu xanh không vỏ, Thịt gấc",1,0,0,
q168,món làm bánh chay,cooking_method,PlantProtein,,Bake,dish2591,Bánh tét chay,mon banh,"Gạo nếp Thái, Nước cốt dừa, Đậu xanh, Chả nấm bào ngư, Lát heo chay",1,0,1,
q168,món làm bánh chay,cooking_method,PlantProtein,,Bake,dish1483,Bánh cống - bánh cóng Sóc Trăng,mon banh,"Tôm, Thịt xay, Đậu xanh, Bột giòn, Bột gạo",1,1,0,
q168,món làm bánh chay,cooking_method,PlantProtein,,Bake,dish8222,Nộm sứa thịt ba chỉ,mon goi - salad,"Sứa, Thịt ba chỉ, Hành tây & cà rốt & giá đỗ, Chanh, Hành & mùi tàu & ớt",0,0,0,
q168,món làm bánh chay,cooking_method,PlantProtein,,Bake,dish1866,Bánh trung thu rau câu nhân tiramisu,mon banh,"Thạch rau câu giòn, Whipping cream, Sữa đặc, Sữa tươi không đường, Bột cà phê hòa tan",0,1,1,
q168,món làm bánh chay,cooking_method,PlantProtein,,Bake,dish2182,Bánh yến mạch trà xanh,mon banh,"Yến mạch, Bột trà xanh, Sữa tươi không đường, Hạt chia, Bột hạt lanh",1,1,1,
q166,trộn nho khô ngon,cooking_method,DriedFruit,,Mix,dish4372,Cháo hạt kê táo đỏ,mon chao,"Hạt kê khô, Táo đỏ, Táo đỏ khô, Kỷ tử, Đường nâu",0,1,0,
q166,trộn nho khô ngon,cooking_method,DriedFruit,,Mix,dish10525,Rau câu viên bi dừa hoa đậu biếc và hạt é,mon trang mieng,"Bột rau câu Agar, Bột rau câu dẻo, Nước cốt dừa, Hoa đậu biếc, Sữa tươi không đường",0,1,0,
q166,trộn nho khô ngon,cooking_method,DriedFruit,,Mix,dish1877,Bánh bông lan phô mai con bò cười,mon banh,"Bột mì đa dụng, Bột bắp, Bơ, Phô mai, Trứng gà",0,0,0,
q166,trộn nho khô ngon,cooking_method,DriedFruit,,Mix,dish8290,Gỏi xoài khô cá chỉ vàng,mon goi - salad,"Khô cá chỉ vàng, Xoài xanh, Tỏi, Ớt, Chanh",1,0,0,
q166,trộn nho khô ngon,cooking_method,DriedFruit,,Mix,dish8245,Bánh đa trộn,mon goi - salad,"Bánh đa, Trứng cút, Xoài xanh, Chả quế, Khô gà",1,0,0,
q166,trộn nho khô ngon,cooking_method,DriedFruit,,Mix,dish7955,Gỏi cá vược,mon goi - salad,"Cá vược, Khô cá, Hành tím, Sả, Thính",1,0,0,
q166,trộn nho khô ngon,cooking_method,DriedFruit,,Mix,dish5574,Nấm rơm kho khổ qua chay,mon kho,"Khổ qua, Nấm rơm, Ớt, Hành tím, Chao",0,1,0,
q166,trộn nho khô ngon,cooking_method,DriedFruit,,Mix,dish8821,Nem chua Thanh Hóa không cần lá chuối,an vat,"Thịt nạc mông, Da heo, Lá ổi, Tỏi, Ớt",0,0,0,
q166,trộn nho khô ngon,cooking_method,DriedFruit,,Mix,dish8398,Salad khoai tây Hy Lạp,mon goi - salad,"Khoai tây, Muối, Dầu oliu nguyên chất, Giấm trắng, Hành tím băm nhỏ",1,0,0,
q166,trộn nho khô ngon,cooking_method,DriedFruit,,Mix,dish8141,Salad rong biển chay giàu dinh dưỡng,mon goi - salad,"Rong biển khô, Xà lách frise, Xà lách lolo tím, Khoai lang, Cam vàng",1,1,1,
q165,phô mai nướng đơn giản,cooking_method,Cheese,,Grill,dish2505,Bánh xíu páo Trung Hoa,mon banh,"Thịt ba rọi, Bột mì đa dụng, Mỡ trừu, Đậu hà lan, Hành tây",0,0,0,
q165,phô mai nướng đơn giản,cooking_method,Cheese,,Grill,dish4289,Cà tím nướng phô mai cà chua,mon nuong,"Cà tím, Cà chua, Phô mai mozarella, Dầu ô liu, Tỏi",1,1,1,
q165,phô mai nướng đơn giản,cooking_method,Cheese,,Grill,dish3837,Xúc xích nướng bằng lò nướng,mon nuong,"Xúc xích, Phô mai, Dừa nạo, Tương ớt, Tương cà",1,1,1,
q165,phô mai nướng đơn giản,cooking_method,Cheese,,Grill,dish4304,Hoành thánh nướng phô mai bò bằm,mon nuong,"Hoành thánh, Thịt bò bằm, Phô mai, Trứng gà, Sốt mayonnaise",1,1,1,
q165,phô mai nướng đơn giản,cooking_method,Cheese,,Grill,dish6173,Cá tra kho tiêu,mon kho,"Cá tra, Hành lá, Tỏi, Ớt, Hành tím",0,0,0,
q165,phô mai nướng đơn giản,cooking_method,Cheese,,Grill,dish8884,Mắm ruốc chấm bánh tráng,an vat,"Mắm ruốc, Me vắt, Ớt hiểm, Tỏi, Dầu ăn",0,0,0,
q165,phô mai nướng đơn giản,cooking_method,Cheese,,Grill,dish4038,Mì Ý phô mai đút lò,mon nuong,"Mì Ý, Cà tím, Nấm đùi gà, Phô mai mozzarela, Xúc xích",1,1,1,
q165,phô mai nướng đơn giản,cooking_method,Cheese,,Grill,dish3259,Bún cà ri gà,mon nuoc,"Gà, Bún tươi, Cà rốt, Khoai tây, Khoai lang",0,0,0,
q165,phô mai nướng đơn giản,cooking_method,Cheese,,Grill,dish4196,Khoai tây nướng phô mai kiểu Pháp - Potatoes gratin,mon nuong,"Khoai tây vàng, Phô mai cheddar trắng, Bơ nhạt, Sữa ít béo, Bột ngô",1,1,1,
q165,phô mai nướng đơn giản,cooking_method,Cheese,,Grill,dish2647,Bánh bông lan cuộn chà bông phô mai trứng muối,mon banh,"Lòng đỏ trứng gà, Đường, Lòng trắng trứng gà, Đường, Bột bắp",0,0,0,
q159,luộc trái cây ngon,cooking_method,FreshFruit,,Boil,dish1399,Bánh gạo Tokbokki chay,mon banh,"Bánh tráng, Chả chén, Nước dừa tươi, Đường, Hạt nêm chay",0,0,0,
q159,luộc trái cây ngon,cooking_method,FreshFruit,,Boil,dish0072,Canh chua khô cá dứa dọc mùng,mon canh,"Khô cá dứa một nắng, Dọc mùng, Cà chua, Dứa, Đậu bắp",1,1,0,
q159,luộc trái cây ngon,cooking_method,FreshFruit,,Boil,dish8060,Nộm sứa đỏ,mon goi - salad,"Sứa đỏ, Cơm rượu nếp, Cà chua, Dừa bào sợi, Bột năng",0,0,0,
q159,luộc trái cây ngon,cooking_method,FreshFruit,,Boil,dish0348,Canh chua chay,mon canh,"Me chua, Giá, Dọc mùng, Cà chua, Thơm",1,1,1,
q159,luộc trái cây ngon,cooking_method,FreshFruit,,Boil,dish0118,Canh chua cá kèo bông so đũa,mon canh,"Cá kèo, Bông so đũa, Rau nhút, Cà chua, Giá sống",1,0,1,
q159,luộc trái cây ngon,cooking_method,FreshFruit,,Boil,dish9000,Rau câu lá dứa nước cốt dừa,an vat,"Bột rau câu, Bột cốt dừa, Lá dứa, Nước hương lá dứa, Đường",0,1,0,
q159,luộc trái cây ngon,cooking_method,FreshFruit,,Boil,dish2326,Bánh bông lan sữa chua việt quất,mon banh,"Nam việt quất, Bột mì số 8, Sữa chua trắng, Trứng gà, Đường",0,0,0,
q159,luộc trái cây ngon,cooking_method,FreshFruit,,Boil,dish0751,Canh thịt bò nấu dứa,mon canh,"Thịt bắp bò, Dứa, Cà chua, Hành tím, Tỏi",1,1,1,
q159,luộc trái cây ngon,cooking_method,FreshFruit,,Boil,dish0092,Canh kiểm chay,mon canh,"Khoai lang, Chuối sáp, Bí đỏ, Bột khoai, Nấm mèo",1,1,1,
q159,luộc trái cây ngon,cooking_method,FreshFruit,,Boil,dish2369,Bánh gấc đậu xanh hình trái cà chua,mon banh,"Gấc chín, Bột nếp, Đậu xanh, Đường, Bột trà xanh",0,0,0,
q157,thảo mộc xào đơn giản,cooking_method,Herb,,StirFry,dish1050,Bánh ú nhân đậu xanh,mon banh,"Gạo nếp, Đậu xanh đãi vỏ, Nước cốt dừa, Hành tây băm nhỏ, Cơm dừa bào sợi",0,0,0,
q157,thảo mộc xào đơn giản,cooking_method,Herb,,StirFry,dish4062,Gà quay tiêu KFC,mon nuong,"Đùi gà góc tư, Tỏi, Tương ớt Hàn Quốc, Tương ớt, Tương cà",0,0,0,
q157,thảo mộc xào đơn giản,cooking_method,Herb,,StirFry,dish5085,Bún thịt xào sả ớt,mon xao,"Thịt nạc dăm, Bún tươi, Giá, Rau thơm, Dưa leo",1,1,1,
q157,thảo mộc xào đơn giản,cooking_method,Herb,,StirFry,dish1983,Bánh mì mè đen nhân matcha trà xanh,mon banh,"Bột mì đa dụng, Bột matcha, Bơ lạt, Bột bắp, Men instant",0,0,0,
q157,thảo mộc xào đơn giản,cooking_method,Herb,,StirFry,dish3682,Kem chuối cacao bằng máy xay sinh tố,mon kem,"Chuối lớn, Bột ca cao, Bơ đậu phộng, Hạt đậu phộng, Sữa tươi",0,0,0,
q157,thảo mộc xào đơn giản,cooking_method,Herb,,StirFry,dish5135,Tôm sốt mayonnaise,mon xao,"Tôm, Mayonnaise, Bột mì đa dụng, Ngò, Muối",1,0,1,
q157,thảo mộc xào đơn giản,cooking_method,Herb,,StirFry,dish5364,Thịt nai xào lá lốt,mon xao,"Thịt nai, Lá lốt, Hành tây, Ngò rí, Tỏi băm",1,1,1,
q157,thảo mộc xào đơn giản,cooking_method,Herb,,StirFry,dish5221,Bí đỏ xào tôm khô,mon xao,"Bí đỏ, Tôm khô, Hành tím, Tỏi, Hành lá/ ngò rí",1,0,1,
q157,thảo mộc xào đơn giản,cooking_method,Herb,,StirFry,dish4962,Nấm mỡ xào muối tiêu,mon xao,"Nấm mỡ, Ớt chuông xanh, Ớt chuông đỏ, Hành boa - rô băm, Ngò rí băm",1,1,1,
q157,thảo mộc xào đơn giản,cooking_method,Herb,,StirFry,dish7718,Gà hấp lá é,mon hap,"Gà, Lá é, Tắc, Sả, Tỏi băm",0,0,0,
q185,bột gạo nấu phở đơn giản,cooking_method,Flour,,NoodleSoup,dish3158,Bún num bò chóc,mon nuoc,"Cá lóc, Nước cốt dừa, Mắm bò hóc, Ngải bún, Sả",1,1,1,
q185,bột gạo nấu phở đơn giản,cooking_method,Flour,,NoodleSoup,dish3593,Kem mít sữa dừa,mon kem,"Múi mít, Sữa đặc, Sữa tươi không đường, Sữa chua không đường, Nước cốt dừa",0,0,0,
q185,bột gạo nấu phở đơn giản,cooking_method,Flour,,NoodleSoup,dish3259,Bún cà ri gà,mon nuoc,"Gà, Bún tươi, Cà rốt, Khoai tây, Khoai lang",1,1,0,
q185,bột gạo nấu phở đơn giản,cooking_method,Flour,,NoodleSoup,dish3982,Ba chỉ cuộn sả,mon nuong,"Thịt ba chỉ, Ớt xiêm xanh, Sả, Hành tím, Tỏi",0,0,0,
q185,bột gạo nấu phở đơn giản,cooking_method,Flour,,NoodleSoup,dish8506,Lòng gà trứng non cháy tỏi,mon tu ga,"Lòng gà, Trứng gà non, Hành tím băm, Tỏi băm, Hành tây",0,0,0,
q185,bột gạo nấu phở đơn giản,cooking_method,Flour,,NoodleSoup,dish3333,Hoành thánh nhân tôm thịt,mon nuoc,"Lá hoành thánh, Thịt băm, Thịt tôm băm, Chả cá thác lác, Tôm khô",1,1,1,
q185,bột gạo nấu phở đơn giản,cooking_method,Flour,,NoodleSoup,dish3152,Mì gà xá kén,mon nuoc,"Gà ta, Xương gà, Hành tím, Gừng, Củ xá kén",1,1,1,
q185,bột gạo nấu phở đơn giản,cooking_method,Flour,,NoodleSoup,dish4645,Ếch xào lá tía tô,mon xao,"Thịt ếch, Muối, Rượu trắng, Hành tím băm, Gừng băm",0,0,0,
q185,bột gạo nấu phở đơn giản,cooking_method,Flour,,NoodleSoup,dish3131,Bún riêu miền Nam,mon nuoc,"Cua đồng, Cà chua, Trứng gà, Huyết heo, Đậu hũ",1,1,1,
q185,bột gạo nấu phở đơn giản,cooking_method,Flour,,NoodleSoup,dish8036,Nộm mướp đắng - gỏi khổ qua khô cá,mon goi - salad,"Khô cá lóc, Khổ qua, Cải đỏ radish, Hành tây, Rau mầm",0,0,0,
q156,món gỏi me,cooking_method,SourSeasoning,,Mix,dish8118,Salad dưa lưới 3 màu,mon goi - salad,"Dưa hấu, Dưa lưới vàng, Dưa lê xanh, Nước cốt chanh, Mật ong",1,1,0,
q156,món gỏi me,cooking_method,SourSeasoning,,Mix,dish6597,Đùi gà chiên nước tương,mon chien,"Đùi gà, Rượu gạo, Tỏi băm, Hoa hồi, Nước tương",0,0,0,
q156,món gỏi me,cooking_method,SourSeasoning,,Mix,dish8265,Gỏi nấm đùi gà hoa phượng,mon goi - salad,"Bôn Hoa phượng, Nấm đùi gà, Rau càng cua, Hoa chuối, Thơm",1,1,1,
q156,món gỏi me,cooking_method,SourSeasoning,,Mix,dish1613,Bánh tart yến mạch bằng nồi chiên không dầu,mon banh,"Yến mạch, Bột bắp, Bơ, Chuối, Trứng gà",0,0,0,
q156,món gỏi me,cooking_method,SourSeasoning,,Mix,dish8142,Gỏi dưa leo tôm khô,mon goi - salad,"Dưa leo, Tôm khô, Cà rốt, Củ cải trắng, Ớt sừng",1,1,1,
q156,món gỏi me,cooking_method,SourSeasoning,,Mix,dish0888,Bánh mì Bình Định,mon banh,"Bánh mì, Nem chua, Chả lụa bì, Trứng vịt, Thịt bằm",0,0,0,
q156,món gỏi me,cooking_method,SourSeasoning,,Mix,dish0994,Bánh mì hạt óc chó chà là,mon banh,"Bột mì đa dụng, Quả óc chó, Quả chà là, Trứng gà, Sữa tươi không đường",0,0,0,
q156,món gỏi me,cooking_method,SourSeasoning,,Mix,dish8151,Gỏi bắp cải cà rốt chay,mon goi - salad,"Bắp cải, Cà rốt, Ớt sừng, Sả, Chanh",1,1,1,
q156,món gỏi me,cooking_method,SourSeasoning,,Mix,dish8153,Gỏi cà rốt,mon goi - salad,"Cà rốt, Đậu đũa, Cà chua bi, Hạt điều, Tỏi",1,1,1,
q156,món gỏi me,cooking_method,SourSeasoning,,Mix,dish7652,Xôi đậu xanh nguyên hạt,mon hap,"Đậu xanh, Nếp, Baking soda, Mè rang, Đường",0,0,0,
q188,làm lòng luộc kiểu gì,cooking_method,Offal,,Boil,dish10728,Mì trộn muối ớt bò trứng lòng đào,mon cuon - tron,"Mì gói, Thịt bò, Mỡ heo, Sườn non, Tôm khô",0,0,0,
q188,làm lòng luộc kiểu gì,cooking_method,Offal,,Boil,dish0718,Tim heo hầm thuốc bắc,mon canh,"Tim heo, Thuốc bắc, Cà rốt, Sả, Ớt tươi",1,1,1,
q188,làm lòng luộc kiểu gì,cooking_method,Offal,,Boil,dish0109,Canh cua chua,mon canh,"Cua đồng, Cà chua, Rau thì là, Hành tím, Mẻ chua",1,0,0,
q188,làm lòng luộc kiểu gì,cooking_method,Offal,,Boil,dish0327,Canh gân bò,mon canh,"Gân bò, Sả, Tỏi, Ớt sừng, Ngò gai",1,1,0,
q188,làm lòng luộc kiểu gì,cooking_method,Offal,,Boil,dish7303,Cua sốt ớt Singapore,mon chien,"Cua biển, Trứng gà, Hành tím, Tỏi, Gừng",0,0,0,
q188,làm lòng luộc kiểu gì,cooking_method,Offal,,Boil,dish1636,Bánh stollen cơ bản,mon banh,"Bột mì đa dụng, Thơm khô, Nho khô, Táo khô, Men nâu",0,0,0,
q188,làm lòng luộc kiểu gì,cooking_method,Offal,,Boil,dish9060,Chuối khô xào gừng,an vat,"Chuối khô, Gừng, Đậu phộng, Mè trắng, Đường vàng",0,0,0,
q188,làm lòng luộc kiểu gì,cooking_method,Offal,,Boil,dish0355,Súp bò viên,mon canh,"Thịt bắp bò, Gân bò, Bò viên, Củ cải trắng, Hành tây",1,0,0,
q188,làm lòng luộc kiểu gì,cooking_method,Offal,,Boil,dish0253,Óc heo tiềm thuốc bắc,mon canh,"Óc heo, Gia vị thuốc bắc, Đầu hành lá cắt sợi, Đường, Hạt nêm",1,1,1,
q188,làm lòng luộc kiểu gì,cooking_method,Offal,,Boil,dish0860,Bánh kẹp giòn,mon banh,"Bơ mặn, Trứng gà, Đường tinh luyện, Bột mì đa dụng, Nước lọc",0,0,0,
q178,gà nộm đơn giản,cooking_method,Poultry,,Mix,dish7954,Chân gà rút xương sốt Thái,mon goi - salad,"Chân gà rút xương, Xoài xanh, Tắc, Sả, Ớt sừng",1,1,1,
q178,gà nộm đơn giản,cooking_method,Poultry,,Mix,dish8026,Nộm (gỏi) gà đu đủ,mon goi - salad,"Gà, Đu đủ xanh, Rau răm, Ớt băm, Tỏi băm",1,1,1,
q178,gà nộm đơn giản,cooking_method,Poultry,,Mix,dish6397,Nhái chiên giòn,mon chien,"Nhái, Dầu ăn, Muối, Bột chiên giòn, Lá chanh",0,0,0,
q178,gà nộm đơn giản,cooking_method,Poultry,,Mix,dish8039,Salad gà dầu giấm,mon goi - salad,"Thịt ức gà, Bơ, Khoai lang, Cà chua, Rau xà lách",1,1,1,
q178,gà nộm đơn giản,cooking_method,Poultry,,Mix,dish4346,Nướng cá bằng lò vi sóng,mon nuong,"Cá, Riềng, Sả băm nhuyễn",0,0,0,
q178,gà nộm đơn giản,cooking_method,Poultry,,Mix,dish6931,Chả ram bắp,mon chien,"Bắp nếp, Bánh tráng, Hành lá, Hành tím, Dầu ăn",0,0,0,
q178,gà nộm đơn giản,cooking_method,Poultry,,Mix,dish8216,Chân gà sốt muối ớt,mon goi - salad,"Chân gà, Xoài keo, Gừng, Giấm, Chanh",1,1,1,
q178,gà nộm đơn giản,cooking_method,Poultry,,Mix,dish7960,Gỏi chân gà Thái Lan,mon goi - salad,"Chân gà, Hành tím, Chanh, Đậu đũa, Cà chua",1,1,1,
q178,gà nộm đơn giản,cooking_method,Poultry,,Mix,dish7455,Lươn chiên giòn lá lốp,mon chien,"Lươn, Lá lốt, Bột chiên giòn, Trứng gà, Hành tím",0,0,0,
q178,gà nộm đơn giản,cooking_method,Poultry,,Mix,dish4674,Nhộng xào mắm hành,mon xao,"Nhộng tằm, Hành tím, Ớt, Dầu ăn, Nước mắm",0,0,0,
q153,nướng lạp xưởng ngon,cooking_method,CuredMeat,,Grill,dish2580,Bánh mì cuộn len nhân nho sữa chua,mon banh,"Bột mì số 13, Sữa bột nguyên kem, Muối, Men nở instant, Đường",0,0,0,
q153,nướng lạp xưởng ngon,cooking_method,CuredMeat,,Grill,dish4322,thịt xông khói cuộn phô mai,mon nuong,"Thịt heo xay, Ớt băm, Tỏi băm, Đường, Nước mắm",1,1,1,
q153,nướng lạp xưởng ngon,cooking_method,CuredMeat,,Grill,dish1313,Bánh Hotteok,mon banh,"Bột làm bánh mì, Sữa tươi không đường, Đường bột, Muối, Men nở",0,0,0,
q153,nướng lạp xưởng ngon,cooking_method,CuredMeat,,Grill,dish4038,Mì Ý phô mai đút lò,mon nuong,"Mì Ý, Cà tím, Nấm đùi gà, Phô mai mozzarela, Xúc xích",1,0,0,
q153,nướng lạp xưởng ngon,cooking_method,CuredMeat,,Grill,dish4316,Vịt nướng nồi đất,mon nuong,"Vịt, Sả, Lá chúc cắt nhỏ, Mật ong, Nước cốt tắc",1,1,0,
q153,nướng lạp xưởng ngon,cooking_method,CuredMeat,,Grill,dish0932,Bánh hồng truyền thống,mon banh,"Nếp ngự, Đường cát, Dừa nạo, Bột năng, Lá dứa",0,0,0,
q153,nướng lạp xưởng ngon,cooking_method,CuredMeat,,Grill,dish8772,Tai heo ngâm sả tắc,an vat,"Tai heo, Sả, Ớt sừng, Ớt chỉ thiên, Tắc",0,0,0,
q153,nướng lạp xưởng ngon,cooking_method,CuredMeat,,Grill,dish8391,Gỏi xoài tôm thịt,mon goi - salad,"Thịt ba chỉ, Tôm, Xoài xanh, Cà rốt, Rau thơm",0,0,0,
q153,nướng lạp xưởng ngon,cooking_method,CuredMeat,,Grill,dish3768,Lạp xưởng nướng đá,mon nuong,"Thịt đùi heo, Thịt heo, Bột đạm đậu nành, Đường, Bột gừng",1,1,1,
q153,nướng lạp xưởng ngon,cooking_method,CuredMeat,,Grill,dish3767,Má heo nướng muối ớt,mon nuong,"Má heo, Hành tím, Tỏi, Ớt khô, Hạt nêm",1,1,0,
q052,món có tiêu và sữa,multi_class,"Spicy,Milk",,,dish7475,Sò điệp trứng cút,mon chien,"Dầu ăn, Ớt băm, Sữa đặc, Nước mắm, Nước tắc",1,0,1,
q052,món có tiêu và sữa,multi_class,"Spicy,Milk",,,dish5295,Thịt bò xào cần tây,mon xao,"Thịt bò, Cần tây, Dầu ăn, Muối, Bột ngọt",0,0,0,
q052,món có tiêu và sữa,multi_class,"Spicy,Milk",,,dish9441,Cách làm giò dăm bông thịt heo,ngay le tet,"Thịt thăn, Gia heo, Giò sống, Hành, Tỏi",0,0,0,
