anchor_dish_id,anchor_dish_name,anchor_category,anchor_ingredients_preview,candidate_dish_id,candidate_dish_name,candidate_category,candidate_ingredients_preview,llm_mean_score,annotator_1,annotator_2,notes
dish6184,Phá lấu lòng heo,mon kho,"Bao tử heo, Lòng heo, Dồi trường, Tim heo, Cật heo",dish6046,Bao tử heo phá lấu,mon kho,"Bao tử heo, Quế, Nước dừa, Màu hạt điều, Gừng",1.667,,,
dish6184,Phá lấu lòng heo,mon kho,"Bao tử heo, Lòng heo, Dồi trường, Tim heo, Cật heo",dish6181,Giò heo kho coca,mon kho,"Giò heo, Coca, Ngũ vị hương, Hoa hồi, Thơm khô",1.0,,,
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish1149,Bánh quy yến mạch,mon banh,"Khoai lang vàng, Bột yến mạch, Bơ lạt, Mật ong, Lòng đỏ trứng gà",0.333,,,
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish1372,Bánh gạo giòn tan,mon banh,"Cơm trắng, Trứng gà, Bột nghệ, Bột gà, Mè đen",0.667,,,
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish0957,Bánh trung thu lava nhân trứng chảy,mon banh,"Bột cake flour, Bột sữa, Bột bắp, Lòng đỏ trứng muối, Trứng gà",1.0,,,
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish1269,Bánh khọt,mon banh,"Tôm, Thịt nạc băm, Mực, Bột gạo, Cơm",1.0,,,
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish1779,Bánh nậm không cần lá chuối,mon banh,"Tôm, Thịt heo, Bột gạo, Bột năng, Chanh",1.0,,,
dish1380,Bánh đúc nóng bằng lò vi sóng,mon banh,"Bột gạo, Bột năng, Thịt băm, Hành tây, Hành tím",dish1185,Bánh ép khô Huế thịt tôm bằng khuôn,mon banh,"Bột năng, Thịt xay, Tôm, Hành tây cắt hạt lựu, Hạt nêm",1.0,,,
dish4315,Tôm càng xanh nướng phô mai sốt BBQ,mon nuong,"Tôm càng xanh, Phô mai bột, Gừng băm, Tỏi băm, Tương ớt Hàn Quốc",dish4216,Thịt bò nướng tiêu bằng nồi chiên không dầu,mon nuong,"Thăn bò Fuji, Nước tương, Mật ong, Dầu hào, Tỏi băm",0.667,,,
dish4315,Tôm càng xanh nướng phô mai sốt BBQ,mon nuong,"Tôm càng xanh, Phô mai bột, Gừng băm, Tỏi băm, Tương ớt Hàn Quốc",dish3754,Ức gà nướng bằng nồi chiên không dầu,mon nuong,"Ức gà, Nước tương, Dầu mè, Dầu hào, Bột ớt",0.667,,,
dish4315,Tôm càng xanh nướng phô mai sốt BBQ,mon nuong,"Tôm càng xanh, Phô mai bột, Gừng băm, Tỏi băm, Tương ớt Hàn Quốc",dish3844,Khoai tây nhồi thịt bò nướng,mon nuong,"Thịt bò băm, Khoai tây, Hành tây, Tỏi, Phô mai sợi",1.0,,,
dish4315,Tôm càng xanh nướng phô mai sốt BBQ,mon nuong,"Tôm càng xanh, Phô mai bột, Gừng băm, Tỏi băm, Tương ớt Hàn Quốc",dish3814,Cá lốc nướng ống tre,mon nuong,"Cá lóc, Ớt, Tỏi, Hành tím, Hành lá",1.0,,,
dish4315,Tôm càng xanh nướng phô mai sốt BBQ,mon nuong,"Tôm càng xanh, Phô mai bột, Gừng băm, Tỏi băm, Tương ớt Hàn Quốc",dish4191,Bò nướng phô mai,mon nuong,"Phô mai Mozarella, Thăn bò, Kim chi, Tương ớt Hàn Quốc, Tỏi băm",1.0,,,
dish4315,Tôm càng xanh nướng phô mai sốt BBQ,mon nuong,"Tôm càng xanh, Phô mai bột, Gừng băm, Tỏi băm, Tương ớt Hàn Quốc",dish3888,Pizza bò dứa,mon nuong,"Đế bánh pizza, Thịt bò, Phô mai, Sốt cà chua, Bắp ngọt",1.0,,,
dish5684,Lươn kho nghệ,mon kho,"Lươn, Nghệ tươi, Tỏi, Hành, Nước mắm",dish5804,Giò heo giả cầy (công thức được chia sẻ từ người dùng),mon kho,"Giò heo, Củ riềng, Ngò gai, Nước dừa tươi, Rau ăn kèm",1.0,,,
dish5684,Lươn kho nghệ,mon kho,"Lươn, Nghệ tươi, Tỏi, Hành, Nước mắm",dish5665,Cá hú kho nghệ,mon kho,"Cá hú, Nghệ tươi, Gừng, Hành lá, Hành tím",1.333,,,
dish5684,Lươn kho nghệ,mon kho,"Lươn, Nghệ tươi, Tỏi, Hành, Nước mắm",dish5635,Mực muối rim mặn ngọt,mon kho,"Mực muối, Tỏi, Hành tím, Ớt, Dầu ăn",1.0,,,
dish5684,Lươn kho nghệ,mon kho,"Lươn, Nghệ tươi, Tỏi, Hành, Nước mắm",dish5815,Cá lăng om dưa chua,mon kho,"Đầu cá lăng, Dưa cải muối chua, Dứa, Cà chua, Cà rốt",1.0,,,
dish5684,Lươn kho nghệ,mon kho,"Lươn, Nghệ tươi, Tỏi, Hành, Nước mắm",dish5619,Thỏ nấu giả cầy miền Bắc,mon kho,"Thỏ, Riềng tươi, Nghệ tươi, Cơm mẻ, Mắm tôm",1.0,,,
dish5684,Lươn kho nghệ,mon kho,"Lươn, Nghệ tươi, Tỏi, Hành, Nước mắm",dish5576,Thịt kho keo,mon kho,"Thịt ba chỉ heo, Tỏi, Hành tím, Nước mắm, Đường/ tiêu",1.333,,,
dish8743,Dương chi cam lộ,an vat,"Bột báng kim, Nước, Nước, Đường phèn, Xoài xay nhuyễn",dish8789,Rau câu sơn thủy,an vat,"Nước cốt dừa, Sữa đặc, Lá dứa, Bột rau câu giòn, Nước cốt cà phê",0.667,,,
dish8743,Dương chi cam lộ,an vat,"Bột báng kim, Nước, Nước, Đường phèn, Xoài xay nhuyễn",dish9225,Panna cotta thạch vải,an vat,"Vải tươi, Vải, Vải tươi, Gelatin dạng lá, Sinh tố phúc bồn tử",0.667,,,
dish8743,Dương chi cam lộ,an vat,"Bột báng kim, Nước, Nước, Đường phèn, Xoài xay nhuyễn",dish8778,Cách làm me hạt dẻo,an vat,"Me, Muối hột, Baking soda, Đường, Dứa",1.0,,,
dish8743,Dương chi cam lộ,an vat,"Bột báng kim, Nước, Nước, Đường phèn, Xoài xay nhuyễn",dish8979,Chè khoai dẻo pudding xoài,an vat,"Xoài chín, Sữa tươi không đường, Kem sữa tươi, Gelatin, Đường trắng",1.333,,,
dish8743,Dương chi cam lộ,an vat,"Bột báng kim, Nước, Nước, Đường phèn, Xoài xay nhuyễn",dish8784,Kẹo Thổ Nhĩ Kỳ,an vat,"Đường, Nước cốt chanh, Bột bắp, Cream tartar, Vani",0.667,,,
dish8743,Dương chi cam lộ,an vat,"Bột báng kim, Nước, Nước, Đường phèn, Xoài xay nhuyễn",dish8995,Rau câu dừa sợi,an vat,"Bột rau câu dẻo, Nước dừa tươi, Cơm dừa non, Đường phèn, Lá dứa",1.333,,,
dish4677,Đu đủ xào thịt bò,mon xao,"Thịt bò, Đu đủ, Hành lá, Gừng, Tỏi",dish5051,Tôm hùm sốt bơ tỏi,mon xao,"Tôm hùm, Tỏi xay, Gạch cua, Bơ nhạt, Xúc xích xông khói",1.0,,,
dish4677,Đu đủ xào thịt bò,mon xao,"Thịt bò, Đu đủ, Hành lá, Gừng, Tỏi",dish5085,Bún thịt xào sả ớt,mon xao,"Thịt nạc dăm, Bún tươi, Giá, Rau thơm, Dưa leo",1.0,,,
dish4677,Đu đủ xào thịt bò,mon xao,"Thịt bò, Đu đủ, Hành lá, Gừng, Tỏi",dish4635,Cà tím xào thịt bò,mon xao,"Cà tím, Thịt bò, Tỏi, Gừng, Dầu ăn",1.667,,,
dish4677,Đu đủ xào thịt bò,mon xao,"Thịt bò, Đu đủ, Hành lá, Gừng, Tỏi",dish5175,Thịt bò xào khoai tây,mon xao,"Thịt bò, Khoai tây, Dầu ăn, Muối, Hạt nêm",1.0,,,
dish4677,Đu đủ xào thịt bò,mon xao,"Thịt bò, Đu đủ, Hành lá, Gừng, Tỏi",dish4655,Thịt bò xào cà rốt,mon xao,"Thịt bò, Cà rốt, Hành tây, Tỏi, Gừng",1.0,,,
dish4677,Đu đủ xào thịt bò,mon xao,"Thịt bò, Đu đủ, Hành lá, Gừng, Tỏi",dish5289,Hến xào sa tế,mon xao,"Hến, Sa tế, Hành tím, Ớt, Sả",1.0,,,
dish4619,Trứng cút rim sa tế,mon xao,"Trứng cút, Hành tím băm, Tỏi băm, Ớt băm, Muối tôm",dish4688,Dưa leo xào thịt gà,mon xao,"Thịt gà, Dưa leo, Hành lá, Ớt sừng, Tỏi tây",1.0,,,
dish4619,Trứng cút rim sa tế,mon xao,"Trứng cút, Hành tím băm, Tỏi băm, Ớt băm, Muối tôm",dish4848,Hến xào nguyên con,mon xao,"Hến nguyên con, Lá sả cắt khúc, Sa tế tôm, Tỏi băm, Sả băm",1.0,,,
dish4619,Trứng cút rim sa tế,mon xao,"Trứng cút, Hành tím băm, Tỏi băm, Ớt băm, Muối tôm",dish5150,Cần tây xào thịt heo (công thức được chia sẻ từ người dùng),mon xao,"Thịt heo, Cần tây, Hành tây, Tỏi băm, Hành tím băm",1.0,,,
dish4619,Trứng cút rim sa tế,mon xao,"Trứng cút, Hành tím băm, Tỏi băm, Ớt băm, Muối tôm",dish5390,Bề bề rang me,mon xao,"Bề bề, Me, Tỏi băm, Ớt băm, Bột ớt",1.0,,,
dish4619,Trứng cút rim sa tế,mon xao,"Trứng cút, Hành tím băm, Tỏi băm, Ớt băm, Muối tôm",dish5214,Cải thìa xào thịt bò,mon xao,"Cải thìa, Thịt bò, Hành lá, Hành tím, Tỏi",1.0,,,
dish4619,Trứng cút rim sa tế,mon xao,"Trứng cút, Hành tím băm, Tỏi băm, Ớt băm, Muối tôm",dish5344,Ốc móng tay xào bơ tỏi,mon xao,"Ốc móng tay, Tỏi, Ớt, Gừng, Bơ lạt",1.0,,,
dish8745,Mận sấy dẻo,an vat,"Mận hậu Hà Nội, Đường cát, Gừng, Muối",dish8794,Súp chả cá Hàn Quốc,an vat,"Chả cá Hàn Quốc, Củ cải trắng, Hành tây, Hành ba rô, Tỏi",0.0,,,
dish8745,Mận sấy dẻo,an vat,"Mận hậu Hà Nội, Đường cát, Gừng, Muối",dish8784,Kẹo Thổ Nhĩ Kỳ,an vat,"Đường, Nước cốt chanh, Bột bắp, Cream tartar, Vani",0.667,,,
dish8745,Mận sấy dẻo,an vat,"Mận hậu Hà Nội, Đường cát, Gừng, Muối",dish9105,Thạch dừa,an vat,"Bột rau câu dẻo, Nước dừa tươi, Đường cát, Cùi dừa bào sợi hay xắt vụn",1.0,,,
dish8745,Mận sấy dẻo,an vat,"Mận hậu Hà Nội, Đường cát, Gừng, Muối",dish9195,Mứt vỏ chanh,an vat,"Vỏ chanh vàng, Đường cát, Mật ong, Nước cốt chanh, Nước lọc",1.0,,,
dish8745,Mận sấy dẻo,an vat,"Mận hậu Hà Nội, Đường cát, Gừng, Muối",dish9245,Tóp mỡ ngào đường,an vat,"Mỡ heo, Đậu phộng, Gừng, Đường thốt nốt, Muối",1.0,,,
dish8745,Mận sấy dẻo,an vat,"Mận hậu Hà Nội, Đường cát, Gừng, Muối",dish9061,Mực khô rim sa tế,an vat,"Mực khô, Ớt sừng, Nước mắm, Đường cát, Nước trắng",1.0,,,
dish2436,Bánh phô mai nướng cho Giáng Sinh,mon banh,"Phô mai kem, Heavy Cream, Mứt cherry, Bánh quy Lotus, Kem chua",dish0851,Bánh khảo,mon banh,"Gạo nếp, Đường phên, Đường tinh luyện, Đậu phộng, Đường cát trắng",0.667,,,
dish2436,Bánh phô mai nướng cho Giáng Sinh,mon banh,"Phô mai kem, Heavy Cream, Mứt cherry, Bánh quy Lotus, Kem chua",dish0867,Bánh mochi anh đào,mon banh,"Gạo nếp Nhật Bản, Lá anh đào ngâm muối, Đậu đỏ, Đường, Muối",0.667,,,
dish2436,Bánh phô mai nướng cho Giáng Sinh,mon banh,"Phô mai kem, Heavy Cream, Mứt cherry, Bánh quy Lotus, Kem chua",dish1330,Bánh rán nhân đậu đen,mon banh,"Đậu đen, Bột nếp, Bột gạo, Khoai lang, Đường",1.0,,,
dish2436,Bánh phô mai nướng cho Giáng Sinh,mon banh,"Phô mai kem, Heavy Cream, Mứt cherry, Bánh quy Lotus, Kem chua",dish2443,Bánh Castella cupcake bí đỏ,mon banh,"Đường, Bột bắp, Bột bí đỏ, Sữa tươi, Tinh chất vani",1.0,,,
dish2436,Bánh phô mai nướng cho Giáng Sinh,mon banh,"Phô mai kem, Heavy Cream, Mứt cherry, Bánh quy Lotus, Kem chua",dish0814,Bánh chưng đen,mon banh,"Gạo nếp nương, Đậu xanh đã cà vỏ, Thịt ba chỉ, Lá dong hoặc lá chít, Tro",0.333,,,
dish2436,Bánh phô mai nướng cho Giáng Sinh,mon banh,"Phô mai kem, Heavy Cream, Mứt cherry, Bánh quy Lotus, Kem chua",dish3071,Bánh phô mai,mon banh,"Bột bánh quy giã nát, Bơ, Đường nâu, Muối, Kem phô mai",1.333,,,
dish6540,Nui chiên trứng,mon chien,"Nui, Trứng, Cà rốt, Cải trắng, Hành lá",dish6818,Sườn non chay rim chanh,mon chien,"Sườn non chay, Dầu ăn, Nước cốt chanh, Tương ớt, Đường",0.667,,,
dish6540,Nui chiên trứng,mon chien,"Nui, Trứng, Cà rốt, Cải trắng, Hành lá",dish6773,Chả giò sake,mon chien,"Sa kê, Tôm sú, Thịt heo xay, Nấm mèo, Bún tàu",0.667,,,
dish6540,Nui chiên trứng,mon chien,"Nui, Trứng, Cà rốt, Cải trắng, Hành lá",dish7098,Trứng chiên hoa hồng,mon chien,"Trứng, Bông hoa hồng đỏ, Tiêu, Dầu ăn",1.0,,,
dish6540,Nui chiên trứng,mon chien,"Nui, Trứng, Cà rốt, Cải trắng, Hành lá",dish6888,Gà viên chiên phô mai,mon chien,"Phi lê gà, Bột bắp, Phô mai, Phô mai mozzarella, Trứng gà",1.0,,,
dish6540,Nui chiên trứng,mon chien,"Nui, Trứng, Cà rốt, Cải trắng, Hành lá",dish7124,Ram bắp thịt,mon chien,"Thịt heo, Trứng gà, Bắp Mỹ, Nấm mèo, Cà rốt",1.0,,,
dish6540,Nui chiên trứng,mon chien,"Nui, Trứng, Cà rốt, Cải trắng, Hành lá",dish6667,Da gà chiên giòn,mon chien,"Da gà, Bột chiên giòn, Gừng, Ớt, Tỏi",1.0,,,
dish5611,Nước màu kho cá,mon kho,"Đường cát trắng, Nước dừa",dish5995,Sườn kho trứng cút,mon kho,"Sườn non, Trứng cút, Nước dừa, Tỏi, Hành tím",1.333,,,
dish5611,Nước màu kho cá,mon kho,"Đường cát trắng, Nước dừa",dish5665,Cá hú kho nghệ,mon kho,"Cá hú, Nghệ tươi, Gừng, Hành lá, Hành tím",1.333,,,
dish5611,Nước màu kho cá,mon kho,"Đường cát trắng, Nước dừa",dish5637,Cá trê kho gừng,mon kho,"Cá trê, Gừng, Hành tím, Gốc hành lá, Ớt",1.667,,,
dish5611,Nước màu kho cá,mon kho,"Đường cát trắng, Nước dừa",dish5620,Cách làm tan đường thốt nốt,mon kho,"Đường thốt nốt, Nước dừa",1.667,,,
dish5611,Nước màu kho cá,mon kho,"Đường cát trắng, Nước dừa",dish5684,Lươn kho nghệ,mon kho,"Lươn, Nghệ tươi, Tỏi, Hành, Nước mắm",1.0,,,
dish5611,Nước màu kho cá,mon kho,"Đường cát trắng, Nước dừa",dish6091,Mực rim nước dừa,mon kho,"Mực ống, Tỏi, Hành tím, Nước dừa, Ớt bột",1.667,,,
dish2544,Bánh Crepe khoai lang tím,mon banh,"Khoai lang, Bột mì đa dụng, Đường, Trứng, Nước cốt dừa",dish1178,Bánh bột mì trái bơ hấp,mon banh,"Bột mì đa dụng, Bơ, Trứng, Dầu ăn",1.0,,,
dish2544,Bánh Crepe khoai lang tím,mon banh,"Khoai lang, Bột mì đa dụng, Đường, Trứng, Nước cốt dừa",dish0957,Bánh trung thu lava nhân trứng chảy,mon banh,"Bột cake flour, Bột sữa, Bột bắp, Lòng đỏ trứng muối, Trứng gà",1.0,,,
dish2544,Bánh Crepe khoai lang tím,mon banh,"Khoai lang, Bột mì đa dụng, Đường, Trứng, Nước cốt dừa",dish1400,Bánh Yokan đậu đỏ truyền thống,mon banh,"Bột rau câu Agar, Hạt đậu đỏ, Đường trắng, Nước lọc, Gừng",1.0,,,
dish2544,Bánh Crepe khoai lang tím,mon banh,"Khoai lang, Bột mì đa dụng, Đường, Trứng, Nước cốt dừa",dish1037,Bánh nougat trứng muối chà bông,mon banh,"Kẹo marshmallow, Bơ lạt, Bánh quy, Trứng muối, Sữa bột",1.0,,,
dish2544,Bánh Crepe khoai lang tím,mon banh,"Khoai lang, Bột mì đa dụng, Đường, Trứng, Nước cốt dừa",dish1817,Bánh donut khoai lang nước cốt dừa,mon banh,"Khoai lang, Bột năng, Nước cốt dừa, Dầu ăn, Muối",1.333,,,
dish2544,Bánh Crepe khoai lang tím,mon banh,"Khoai lang, Bột mì đa dụng, Đường, Trứng, Nước cốt dừa",dish2711,Bánh cornet socola - bánh ốc kem socola,mon banh,"Bột mì đa dụng, Bơ lạt, Đường, Muối, Bột cacao",1.0,,,
dish3931,Mực nướng muối ớt bằng nồi chiên không dầu,mon nuong,"Mực, Sả, Hành tím, Tỏi, Dưa leo",dish4252,Ếch nướng mỡ hành giấy bạc,mon nuong,"Ếch, Hành lá, Hành tím/tỏi/tóp mỡ phi, Tương ớt, Nước mắm",1.0,,,
dish3931,Mực nướng muối ớt bằng nồi chiên không dầu,mon nuong,"Mực, Sả, Hành tím, Tỏi, Dưa leo",dish3714,Dựng dê nướng muối ớt sa tế,mon nuong,"Dựng dê, Sa tế tôm, Sả, Gừng, Ớt hiểm",1.0,,,
dish3931,Mực nướng muối ớt bằng nồi chiên không dầu,mon nuong,"Mực, Sả, Hành tím, Tỏi, Dưa leo",dish3882,Cá lồ ồ nướng sả ớt,mon nuong,"Cá lồ ồ, Sả, Ớt, Hành tím, Dầu ăn",1.667,,,
dish3931,Mực nướng muối ớt bằng nồi chiên không dầu,mon nuong,"Mực, Sả, Hành tím, Tỏi, Dưa leo",dish3848,Cá trê nướng muối ớt,mon nuong,"Cá trê, Muối, Bột ngọt, Ớt hiểm, Muối hột",1.667,,,
dish3931,Mực nướng muối ớt bằng nồi chiên không dầu,mon nuong,"Mực, Sả, Hành tím, Tỏi, Dưa leo",dish3964,Gà nướng lá mắc mật bằng lò nướng,mon nuong,"Gà, Lá mắc mật, Cà rốt, Dưa leo, Rau thơm ăn kèm",1.0,,,
dish3931,Mực nướng muối ớt bằng nồi chiên không dầu,mon nuong,"Mực, Sả, Hành tím, Tỏi, Dưa leo",dish3870,Cà chua nướng bằng lò nướng,mon nuong,"Cà chua to, Bơ, Vụn bánh mì khô, Muối, Tiêu",1.0,,,
dish8594,Lẩu bò nhúng giấm (dấm),mon tu bo,"Thịt bò, Thơm, Hành tây, Tỏi, Hành tím",dish8611,Bò hấp sả thơm,mon tu bo,"Thịt bắp bò, Sả cây, Ớt, Thơm, Mắm nêm",1.0,,,
dish8594,Lẩu bò nhúng giấm (dấm),mon tu bo,"Thịt bò, Thơm, Hành tây, Tỏi, Hành tím",dish8630,Bắp bò hấp gừng,mon tu bo,"Bắp bò, Gừng, Hành tây, Sả, Ớt",1.0,,,
dish8594,Lẩu bò nhúng giấm (dấm),mon tu bo,"Thịt bò, Thơm, Hành tây, Tỏi, Hành tím",dish8572,khoai tây thịt bò,mon tu bo,"Thịt bò, Cà rốt/ Khoai tây, Hành tây, Ngò rí, Hành tím",1.0,,,
dish8594,Lẩu bò nhúng giấm (dấm),mon tu bo,"Thịt bò, Thơm, Hành tây, Tỏi, Hành tím",dish8582,Bò viên gân,mon tu bo,"Thịt bò, Gân bò, Bột nở, Bột bắp, Tiêu",1.0,,,
dish8594,Lẩu bò nhúng giấm (dấm),mon tu bo,"Thịt bò, Thơm, Hành tây, Tỏi, Hành tím",dish8568,Bò bít tết kiểu Pháp sốt kem tiêu,mon tu bo,"Thịt bò, Tiêu đen, Tiêu xanh, Khoai tây, Hành tím",1.0,,,
dish8594,Lẩu bò nhúng giấm (dấm),mon tu bo,"Thịt bò, Thơm, Hành tây, Tỏi, Hành tím",dish8625,Gân bò ngâm chua cay,mon tu bo,"Gân bò, Nước mắm, Đường, Giấm, Sả",1.0,,,
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7774,Lẩu ếch chuối đậu,mon lau,"Thịt ếch, Chuối xanh lớn, Đậu hũ trắng, Mắm tôm, Cơm mẻ",0.667,,,
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7832,Lẩu cù lao miền Tây,mon lau,"Lưỡi heo, Lòng non, Cật heo, Gan heo, Lá lách",0.667,,,
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7822,Lẩu chân giò heo,mon lau,"Giò heo, Măng tươi, Rau móp chua, Sả, Tỏi",1.0,,,
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7812,Lẩu gà thuốc bắc,mon lau,"Gà, Nguyên liệu thuốc bắc, Cà rốt, Nấm kim châm, Nấm hương khô",1.0,,,
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7830,Lẩu cá trắm chua cay,mon lau,"Cá trắm, Cà chua, Nghệ, Hành lá, Rau thì là",1.0,,,
dish7905,Chả cá cốt cay Hàn Quốc,mon lau,"Chả cá Hàn Quốc, Tương ớt Hàn Quốc, Ớt bột Hàn Quốc, Giấm, Tỏi",dish7922,Lẩu bò nấm,mon lau,"Thịt bò, Nấm hương, Nấm kim châm, Nấm đùi gà, Rau cải cúc",1.0,,,
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish1270,Bánh bao nhân thịt trứng,mon banh,"Bột bánh bao pha sẵn, Thịt heo xay, Trứng cút, Ngò rí, Hành tím băm",1.0,,,
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish1214,Bánh mì nướng bằng chảo,mon banh,"Bột mì số 13, Men nở, Nước ấm, Trứng gà, Muối",1.333,,,
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish2787,Vỏ bánh mì hamburger từ trái bơ,mon banh,"Bơ, Bột mì số 13, Trứng gà, Sữa tươi không đường, Men nở",1.667,,,
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish1941,Bánh quy tôm khô,mon banh,"Bột mì số 13, Bột phô mai, Bơ lạt, Ruốc khô, Tôm khô",1.0,,,
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish1654,Bánh mì cadé bằng trứng vịt,mon banh,"Bột mì số 13, Sữa tươi không đường, Bơ lạt, Men ngọt, Trứng gà",1.0,,,
dish1070,Bánh mì cuộn xúc xích bằng nồi chiên không dầu,mon banh,"Bột mì số 13, Muối, Đường, Trứng gà, Bơ lạt",dish0944,Bánh bò bông,mon banh,"Bột gạo tẻ, Bột nếp, Sữa tươi không đường, Đường thốt nốt, Men khô",1.0,,,
dish7926,Lẩu khổ qua cá rô phi,mon lau,"Chả cá rô phi, Xương heo, Khổ qua, Gia vị nấu phở, Hạt nêm",dish7826,Lẩu bò mắm ruốc,mon lau,"Bắp bò, Nước dừa, Hành tây, Thơm, Tỏi",0.667,,,
dish7926,Lẩu khổ qua cá rô phi,mon lau,"Chả cá rô phi, Xương heo, Khổ qua, Gia vị nấu phở, Hạt nêm",dish7941,Lẩu cá lăng măng chua,mon lau,"Cá lăng, Măng chua, Rau nhúng lẩu, Sả, Cà chua",1.0,,,
dish7926,Lẩu khổ qua cá rô phi,mon lau,"Chả cá rô phi, Xương heo, Khổ qua, Gia vị nấu phở, Hạt nêm",dish7922,Lẩu bò nấm,mon lau,"Thịt bò, Nấm hương, Nấm kim châm, Nấm đùi gà, Rau cải cúc",1.0,,,
